									
									
	1	1998-03-21	A	Miami	2-0	W	1-0	Kosecki (Razov) 76; Kotschau (unassisted) 87	Zach Thornton, Lubos Kubik, Francis Okaroh, Andrew Lewis, Jorge Salcedo, Frank Klopas (Zak Ibsen 66), Rich Kotschau, Chris Armas, Peter Nowak, Roman Kosecki (Jesse Marsch 83), Tony Kuhn (Ante Razov 74)
	2	1998-04-04	H	Tampa Bay	2-0	W	2-0	Klopas (Ibsen, Nowak) 43; Klopas (Kosecki, Kotschau) 88	Zach Thornton, Lubos Kubik, Andrew Lewis, C.J. Brown, Rich Kotschau, Jorge Salcedo, Chris Armas, Peter Nowak, Zak Ibsen, Frank Klopas, Roman Kosecki
	3	1998-04-08	A	Kansas City	0-1	L	2-1		Zach Thornton, Lubos Kubik, C.J. Brown, Andrew Lewis, Jorge Salcedo (Manuel Lagos 80), Chris Armas, Zak Ibsen (Jesse Marsch 82), Rich Kotschau, Peter Nowak, Frank Klopas, Roman Kosecki (Jerzy Podbrozny 67)
	4	1998-04-11	A	San Jose	0-1	L	2-2		Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown (Jesse Marsch 82), Jorge Salcedo, Rich Kotschau, Chris Armas, Zak Ibsen (Frank Klopas 46), Peter Nowak, Jerzy Podbrozny (Ante Razov 72), Roman Kosecki
	5	1998-04-17	H	Metrostars	0-1	L	2-3		Jorge Campos, Lubos Kubik, Francis Okaroh, Andrew Lewis (Zak Ibsen 76), Jorge Salcedo (Zach Thornton 86), Chris Armas, Rich Kotschau (Ante Razov 68), Peter Nowak, Frank Klopas, Roman Kosecki, Jerzy Podbrozny (Tony Kuhn 73)
	6	1998-04-25	A	Colorado	4-4	L	2-4	Kosecki (Nowak, Thornton) 10; Klopas (Kosecki, Salcedo) 39; Klopas (Lewis, A., Nowak) 43; Marsch (Kubik) 87 	Zach Thornton, Lubos Kubik, Andrew Lewis, Francis Okaroh, Jorge Salcedo (Jesse Marsch 82), Rich Kotschau, Frank Klopas (Ante Razov 75), Chris Armas, Peter Nowak, Jerzy Podbrozny (Zak Ibsen 63), Roman Kosecki
	7	1998-05-02	H	DC United	1-3	L	2-5	Klopas (Armas, Nowak) 9	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Brian Bates, Chris Armas, Rich Kotschau, Jesse Marsch, Peter Nowak (Jorge Salcedo 26), Frank Klopas (Ante Razov 68), Roman Kosecki (sent off 65)
	8	1998-05-16	A	Tampa Bay	2-1	W	3-5	Podbrozny, J. (Nowak) 21; Nowak (Podbrozny, J.) 79	Zach Thornton, Andrew Lewis, Lubos Kubik, C.J. Brown, Brian Bates (Zak Ibsen 69), Rich Kotschau, Chris Armas, Jesse Marsch, Peter Nowak, Jerzy Podbrozny (Jorge Salcedo 86), Frank Klopas (Ante Razov 72)
	9	1998-05-20	H	Los Angeles	3-1	W	4-5	Nowak (Kosecki, Okaroh) 37; Kosecki (Razov) 58; Nowak (Podbrozny, J., Kosecki) 68	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Chris Armas, Frank Klopas (Rich Kotschau 59), Roman Kosecki, Jesse Marsch, Peter Nowak, Jerzy Podbrozny (Jorge Salcedo 81), Ante Razov (Andrew Lewis 76)
	10	1998-05-23	H	Colorado	5-0	W	5-5	Brown (Nowak) 21; Razov (Kubik) 51; Podbrozny, J. (Razov, Nowak) 55; Kosecki (Podbrozny, J.) 57; Wolff (Kubik) 86	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Chris Armas, Jesse Marsch, Rich Kotschau, Jerzy Podbrozny (Zak Ibsen 79), Peter Nowak (Josh Wolff 84), Roman Kosecki, Ante Razov (Tony Kuhn 84)
	11	1998-05-30	A	Los Angeles	1-1	W	6-5	Razov (Klopas, Kubik) 49 	Zach Thornton, Francis Okaroh, Lubos Kubik, C.J. Brown, Chris Armas, Jesse Marsch, Rich Kotschau, Jerzy Podbrozny (Zak Ibsen 46), Peter Nowak, Frank Klopas, Ante Razov
	12	1998-06-06	H	Columbus	2-0	W	7-5	Kotschau (Podbrozny, J., Klopas) 8; Nowak (unassisted) 52	Zach Thornton, Lubos Kubik, C.J. Brown, Francis Okaroh, Rich Kotschau, Chris Armas, Jesse Marsch, Peter Nowak, Jerzy Podbrozny, Frank Klopas (Zak Ibsen 60), Ante Razov
	13	1998-06-11	H	San Jose	5-2	W	8-5	Razov (Podbrozny, J.) 4; Nowak (Kosecki, Razov) 33; Nowak (Podbrozny, J.) 49; Kotschau (Kosecki, Razov) 52; Wolff (Podbrozny, J., Salcedo) 74	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Chris Armas, Roman Kosecki (Josh Wolff 68), Jesse Marsch, Rich Kotschau, Peter Nowak (Jorge Salcedo 72), Jerzy Podbrozny (Andrew Lewis 82), Ante Razov
	14	1998-06-14	A	New England	3-1	W	9-5	Podbrozny, J. (Marsch) 25; Kotschau (Marsch, Armas) 60; Podbrozny, J. (Nowak, Razov) 85	Zach Thornton, C.J. Brown, Rich Kotschau, Lubos Kubik, Francis Okaroh, Chris Armas, Jesse Marsch (Zak Ibsen 88), Peter Nowak, Roman Kosecki, Jerzy Podbrozny, Ante Razov (Andrew Lewis 86)
	15	1998-06-17	H	Dallas	1-0	W	10-5	Kubik (pk) 64 	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Rich Kotschau, Chris Armas, Jesse Marsch, Peter Nowak (Andrew Lewis 84), Roman Kosecki (Zak Ibsen 90), Jerzy Podbrozny, Ante Razov (Jorge Salcedo 75)
	16	1998-06-24	H	Kansas City	4-1	W	11-5	Razov (Kosecki) 26; Brown (Nowak) 36; Kosecki (Podbrozny, J., Marsch) 56; Kosecki (Kotschau, Kubik) 76	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Rich Kotschau (Diego Gutierrez 82), Chris Armas, Jesse Marsch, Peter Nowak, Roman Kosecki, Jerzy Podbrozny (Frank Klopas 80), Ante Razov (Zak Ibsen 77)
	17	1998-07-01	H	Dallas	4-1	W	12-5	Kubik (Podbrozny, J.) 7; Razov (unassisted) 16; Kosecki (Podbrozny, J., Kotschau) 20; Podbrozny, J. (Kubik, Armas) 36	Zach Thornton, Lubos Kubik, Francis Okaroh, C.J. Brown, Chris Armas, Jesse Marsch, Rich Kotschau, Peter Nowak (Andrew Lewis 84), Roman Kosecki (Frank Klopas 74), Jerzy Podbrozny (Zak Ibsen 66), Ante Razov
	18	1998-07-04	A	Dallas	1-0	W	13-5	Kubik (Nowak, Armas) 37 	Zach Thornton, C.J. Brown, Lubos Kubik, Francis Okaroh, Rich Kotschau, Chris Armas, Jesse Marsch (Andrew Lewis 75), Peter Nowak, Jerzy Podbrozny (Frank Klopas 82), Roman Kosecki (Zak Ibsen 68), Ante Razov
	OC-3rd	1998-07-06	A	Chicago Stingers	3-1	W		Klopas (Podbrozny, Ibsen) 80; Gutierrez (Ibsen) 83; Wolff (Podbrozny, Nowak) 87	Zach Thornton (Scott Coufal 46), Lubos Kubik, C.J. Brown, Andrew Lewis, Ritchie Kotschau (Peter Nowak 58), Zak Ibsen, Jesse Marsch, Diego Gutierrez, Jerzy Podbrozny, Josh Wolff, Frank Klopas
	19	1998-07-09	A	Columbus	0-3	L	13-6		Scott Coufal, Francis Okaroh, Lubos Kubik, C.J. Brown, Rich Kotschau (Diego Gutierrez 73), Chris Armas, Jesse Marsch, Jerzy Podbrozny (Frank Klopas 22), Peter Nowak (Zak Ibsen 46), Ante Razov, Roman Kosecki
