									
									
	1	2005-04-02	H	DC United	0-2	L	0-1-0		Brad Guzan, Orlando Perez, Aaron Lopez (Isaac Romo 74), Ryan Suarez, Ezra Hendrickson, Francisco Gomez (Francisco Mendoza 32), Hector Cuadros, Ramon Ramirez, Arturo Torres (Antonio Martinez 58), Thiago Martins, Matt Taylor.
	2	2005-04-09	A	San Jose	3-3	D	0-1-1	Martins 1 (Perez 1) 3; Cuadros 1 (Hendrickson 1) 73; Sequeira 1 (Martinez 1) 90+	Brad Guzan, Ezra Hendrickson, Douglas Sequeira, Ryan Suarez (Jesus Ochoa 58), Orlando Perez (Isaac Romo 83), Hector Cuadros, Aaron Lopez, Ramon Ramirez, Arturo Torres, Thiago Martins (Antonio Martinez 87), Matt Taylor.
	3	2005-04-16	H	Dallas	1-3	L	0-2-1	Martins 2 (Ramirez 1, Perez 2) 44	Brad Guzan, Ezra Hendrickson, Douglas Sequeira, Ryan Suarez (Isaac Romo 84), Orlando Perez, Jesus Ochoa (Francisco Mendoza 55), Hector Cuadros, Ramon Ramirez, Arturo Torres, Thiago Martins, Matt Taylor (Antonio Martinez 71).
	4	2005-04-23	A	Los Angeles	1-3	L	0-3-1	Romo 1 (Ramirez 2) 49	Brad Guzan, Ezra Hendrickson, Aaron Lopez (sent off 51), Douglas Sequeira, Orlando Perez, Ramon Ramirez, Hector Cuadros, Alfonso Loera, Arturo Torres (Isaac Romo 24), Thiago Martins (Antonio Martinez 70), Matt Taylor.
	5	2005-04-30	A	New England	0-1	L	0-4-1		Brad Guzan, Ezra Hendrickson, Douglas Sequeira, Alfonso Loera, Orlando Perez, Ramon Ramirez, Hector Cuadros, Jesus Ochoa, Ryan Suarez, Thiago Martins, Matt Taylor (Isaac Romo 76).
	6	2005-05-07	H	Real Salt Lake	1-0	W	1-4-1	Cuadros 2 (penalty kick) 39	Brad Guzan, Armando Begines, Alfonso Loera, Douglas Sequeira, Ryan Suarez, Ezra Hendrickson, Hector Cuadros, Francisco Mendoza, Ramon Ramirez (Jesus Ochoa 85), Orlando Perez, Thiago Martins.
	7	2005-05-14	A	Colorado	1-2	L	1-5-1	Suarez 1 (Ramirez 3) 67	Brad Guzan, Ezra Hendrickson, Alfonso Loera (Matt Taylor 83), Ryan Suarez, Armando Begines (Arturo Torres 63), Hector Cuadros, Orlando Perez, Ramon Ramirez, Douglas Sequeira, Francisco Mendoza, Thiago Martins (Isaac Romo 68).
	8	2005-05-18	A	Real Salt Lake	0-2	L	1-6-1		Brad Guzan, Ezra Hendrickson, Alfonso Loera (sent off 92+), Ryan Suarez (Francisco Gomez 82), Armando Begines, Douglas Sequeira, Orlando Perez (Isaac Romo 55), Ramon Ramirez, Hector Cuadros, Thiago Martins, Francisco Mendoza (Arturo Torres 68).
	9	2005-05-22	H	Dallas	2-5	L	1-7-1	Cuadros 3 (penalty kick) 19; Romo 2 (Cuadros 1) 53	Martin Zuniga, Ezra Hendrickson, Francisco Gomez (Orlando Perez 58), Ryan Suarez, Armando Begines, Hector Cuadros, Ramon Ramirez, Douglas Sequeira, Isaac Romo, Thiago Martins, Francisco Mendoza.
	10	2005-05-28	H	Los Angeles	0-2	L	1-8-1		Martin Zuniga, Ezra Hendrickson, Alfonso Loera (Francisco Gomez 87), Orlando Perez (Matt Taylor 79), Douglas Sequeira, Ryan Suarez, Ramon Ramirez, Hector Cuadros (Arturo Torres 69), Isaac Romo, Thiago Martins, Francisco Mendoza.
	11	2005-06-01	H	Kansas City	1-1	D	1-8-2	Ramirez 1 (unassisted) 38	Martin Zuniga, Ezra Hendrickson, Armando Begines, Orlando Perez (Antonio Martinez 45), Ryan Suarez, Alfonso Loera, Francisco Gomez (Francisco Mendoza 67), Thiago Martins, Ramon Ramirez, Hector Cuadros, Isaac Romo (Matt Taylor 83).
	12	2005-06-04	A	Chicago	2-5	L	1-9-2	Martinez 1 (Romo 1, Cuadros 2) 5; Hendrickson 1 (Gomez 1) 42	Martin Zuniga, Ezra Hendrickson, Alfonso Loera, Ryan Suarez, Armando Begines, Francisco Gomez (Aaron Lopez 67), Ramon Ramirez, Antonio Martinez, Hector Cuadros (Arturo Torres 61), Isaac Romo, Thiago Martins.
	13	2005-06-12	H	San Jose	1-1	D	1-9-3	Hendrickson 2 (Ramirez 4) 66	Brad Guzan, Alfonso Loera, Ryan Suarez (Arturo Torres 76), Armando Begines, Ezra Hendrickson, Ramon Ramirez (Orlando Perez 84), Douglas Sequeira, Antonio Martinez (Hector Cuadros 61), Francisco Mendoza, Isaac Romo, Thiago Martins.
	14	2005-06-18	H	Colorado	1-3	L	1-10-3	Martins 3 (penalty kick) 83	Brad Guzan, Ezra Hendrickson, Douglas Sequeira, Armando Begines, Jesus Ochoa (Ryan Suarez 60), Hector Cuadros, Antonio Martinez (Arturo Torres 46), Ramon Ramirez, Francisco Mendoza, Thiago Martins, Isaac Romo (Matt Taylor 47+)
	15	2005-06-22	A	Dallas	1-2	L	1-11-3	Taylor 1 (Cuadros 3, Martins 1) 48	Brad Guzan, Esteban Arias, Ezra Hendrickson, Ryan Suarez, Orlando Perez, Douglas Sequeira, Hector Cuadros (Francisco Gomez 79), Ramon Ramirez (Armando Begines 72), Matt Taylor, Thiago Martins, Francisco Mendoza (Antonio Martinez 67).
	16	2005-06-25	A	Kansas City	0-3	L	1-12-3		Brad Guzan, Ezra Hendrickson, Ryan Suarez (Francisco Gomez 28), Armando Begines, Esteban Arias (Arturo Torres 79), Ramon Ramirez, Douglas Sequeira, Orlando Perez (Antonio Martinez 58), Hector Cuadros, Thiago Martins, Matt Taylor.
