	1	1996-04-13	H	DC United	4-0	W	1-0	own goal (Lee) 18; McBride 29; Marino 48; McBride 86	Bo Oshoniyi, Mike Clark, Mark Watson, Shane Battelle (Todd Yeagley 84), Janusz Michallik, Billy Thompson, Doctor Khumalo, Brian Bliss, Pete Marino (Brian Maisonneuve 72), Adrian Paz (Mac Cozier 78), Brian McBride
	2	1996-04-20	H	Tampa Bay	1-2	L	1-1	Khumalo (unassisted) 60	Bo Oshoniyi, Mark Watson, Mike Clark, Brian Bliss (Marcelo Carrera 81), Doctor Khumalo, Shane Battelle, Billy Thompson, Janusz Michallik, Adrian Paz, Brian McBride, Pete Marino (Brian Maisonneuve 46)
	3	1996-04-27	A	Metrostars	2-0	W	2-1	Bliss (unassisted) 13; Thompson (Khumalo) 87	Bo Oshoniyi, Mike Clark, Mark Watson, Billy Thompson, Brian Bliss, Shane Battelle (Todd Yeagley 59), Doctor Khumalo, Brian Maisonneuve (Brandon Ward 66), Janusz Michallik, Adrian Paz (Marcelo Carrera 88), Brian McBride
	4	1996-05-02	A	Kansas City	4-6	L	2-2	McBride (Thompson) 20; Yeagley (McBride) 48; Clark (Thompson) 64; own goal (Bowers) 65	Bo Oshoniyi, Mike Clark, Mark Watson, Janusz Michallik, Todd Yeagley, Brian Bliss (Pete Marino 85), Shane Battelle (Marcelo Carrera 83), Doctor Khumalo, Billy Thompson, Adrian Paz, Brian McBride
	5	1996-05-05	A	Dallas	0-0	L	2-3		Bo Oshoniyi, Janusz Michallik, Brian Bliss, Mark Watson, Brandon Ward, Todd Yeagley, Shane Battelle (Pete Marino 42, Mac Cozier 88), Billy Thompson, Adrian Paz (Marcelo Carrera 64), Doctor Khumalo, Brian McBride
	6	1996-05-11	H	New England	3-2	W	3-3	McBride (pk) 48; Marino (unassisted) 87; McBride (Clark) 89	Bo Oshoniyi, Mike Clark, Mark Watson, Janusz Michallik, Todd Yeagley (Marcelo Carrera 46), Shane Battelle, Doctor Khumalo, Brian Bliss (Paul Young 62), Billy Thompson, Brian McBride, Adrian Paz (Pete Marino 76)
	7	1996-05-15	A	DC United	2-5	L	3-4	McBride (Paz) 76; Paz (pk) 85	Bo Oshoniyi, Mike Clark, Mark Watson, Janusz Michallik, Billy Thompson, Brandon Ward (Todd Yeagley 74), Doctor Khumalo, Shane Battelle (Marcelo Carrera 57), Adrian Paz, Paul Young (Pete Marino 74), Brian McBride
	8	1996-05-19	H	Colorado	2-4	L	3-5	McBride (Thompson) 27; Khumalo (pk) 42	Bo Oshoniyi, Mike Clark, Mark Watson, Janusz Michallik, Billy Thompson, Shane Battelle, Brian Bliss (Mac Cozier 84), Doctor Khumalo, Marcelo Carrera (Todd Yeagley 67), Adrian Paz (Paul Young 78), Brian McBride
	9	1996-05-26	A	Los Angeles	2-3	L	3-6	Marino (Paz) 24; Marino (Thompson) 51	Bo Oshoniyi, Mike Clark, Mark Watson, Janusz Michallik, Todd Yeagley (sent off 23), Billy Thompson (Mac Cozier 83), Brandon Ward (Marcelo Carrera 76), Brian Bliss, Doctor Khumalo, Adrian Paz (Paul Young 67), Pete Marino
	10	1996-06-01	A	San Jose	2-2	L	3-7	Marino (Paz) 31; McBride (pk) 68	Bo Oshoniyi, Paul Caligiuri, Mike Clark, Mark Watson, Brian Bliss, Janusz Michallik, Billy Thompson, Adrian Paz, Marcelo Carrera (Brandon Ward 77), Pete Marino, Brian McBride
	11	1996-06-08	H	Kansas City	3-3	L	3-8	Paz (Thompson, Carrera) 38; Marino (Paz) 41; Paz (Carrera) 43	Bo Oshoniyi, Paul Caligiuri (sent off 59), Mike Clark, Mark Watson, Brian Bliss, Janusz Michallik, Billy Thompson, Adrian Paz, Marcelo Carrera, Pete Marino (Brandon Ward 63), Brian McBride
