									
									
	1	1996-04-13	A	Kansas City	0-3	L	0-1		Dusty Hudock, Denis Hamlett, Ian Butterworth, Troy Edwards, Matt Kmosko, Steve Trittschuh, Chris Henderson (Roy Wegerle 77), Dominic Kinnear, Scott Benedetti (Richard Sharpe 77), Shaun Bartlett, Jean Harbor
	2	1996-04-21	H	Dallas	3-1	W	1-1	Balboa (Harbor) 48; Bartlett (Harbor) 57; Balboa (Benedetti) 64	Dusty Hudock, Troy Edwards, Ian Butterworth, Denis Hamlett, Steve Trittschuh, Marcelo Balboa (Roy Wegerle 82), Matt Kmosko, Scott Benedetti, Chris Henderson, Jean Harbor, Shaun Bartlett
	3	1996-05-05	H	Kansas City	4-0	W	2-1	Benedetti (Trittschuh) 4; Trittschuh (Henderson) 16; Henderson (unassisted) 38; Sharpe (Wegerle) 90	Dusty Hudock, Denis Hamlett, Ian Butterworth, Troy Edwards (Dominic Kinnear 64), Matt Kmosko, Scott Benedetti, Chris Henderson, Steve Trittschuh, Marcelo Balboa, Jean Harbor (Richard Sharpe 88), Shaun Bartlett (Roy Wegerle 55)
	4	1996-05-08	A	San Jose	1-3	L	2-2	Balboa (Henderson) 2	Dusty Hudock, Matt Kmosko, Denis Hamlett, Ian Butterworth, Scott Cannon, Scott Benedetti (Roy Wegerle 71), Marcelo Balboa, Steve Trittschuh, Chris Henderson, Jean Harbor, Shaun Bartlett
	5	1996-05-11	H	Tampa Bay	1-2	L	2-3	Harbor (pk) 10	Chris Woods, Matt Kmosko, Denis Hamlett, Ian Butterworth, Scott Cannon (Richard Sharpe 76), Scott Benedetti, Marcelo Balboa, Steve Trittschuh, Chris Henderson, Jean Harbor, Shaun Bartlett (Roy Wegerle 58)
	6	1996-05-16	A	MetroStars	0-3	L	2-4		Chris Woods, Denis Hamlett, Ian Butterworth (Roy Wegerle 36), Scott Cannon, Matt Kmosko, Steve Trittschuh, Scott Benedetti (Richard Sharpe 57), Chris Henderson, Marcelo Balboa, Jean Harbor (Dominic Kinnear 71), Shaun Bartlett
	7	1996-05-19	A	Columbus	4-2	W	3-4	Bartlett (unassisted) 49; Bartlett (Wegerle) 73; Balboa (Wegerle) 80; Sharpe (Henderson, Bartlett) 88	Chris Woods, Denis Hamlett, Matt Kmosko, Marcelo Balboa, Chris Henderson, Steve Trittschuh, Dominic Kinnear, Scott Benedetti, Roy Wegerle, Shaun Bartlett, Richard Sharpe
	8	1996-05-25	A	New England	2-2	L	3-5	Wegerle (Sharpe, Bartlett) 76; Harbor (Henderson) 88	Dusty Hudock, Denis Hamlett, Matt Kmosko, Scott Cannon, Steve Trittschuh, Chris Henderson, Scott Benedetti, Dominic Kinnear (Jean Harbor 81), Roy Wegerle, Shaun Bartlett, Richard Sharpe
	9	1996-05-29	H	Dallas	2-0	W	4-5	Henderson (Benedetti) 24; Harbor (pk) 67	Dusty Hudock, Denis Hamlett, Matt Kmosko, Marcelo Balboa, Steve Trittschuh, Chris Henderson, Dominic Kinnear, Scott Benedetti, Roy Wegerle, Richard Sharpe (Brian Bates 72), Jean Harbor
	10	1996-06-02	H	DC United	2-2	L	4-6	Trittschuh (Harbor) 67; Harbor (unassisted) 77	Dusty Hudock, Marcelo Balboa, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Dominic Kinnear, Jean Harbor, Richard Sharpe (Brian Bates 76), Scott Benedetti, Roy Wegerle
	11	1996-06-08	A	Tampa Bay	1-2	L	4-7	Harbor (pk) 74	Dusty Hudock, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Dominic Kinnear, Scott Benedetti, Jean Harbor, Richard Sharpe (Brian Bates 46), Roy Wegerle
	12	1996-06-15	A	Dallas	1-1	L	4-8	Harbor (Sharpe) 1	Chris Woods, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Dominic Kinnear (Felipe Rodriguez 60), Scott Benedetti, Jean Harbor, Richard Sharpe (Brian Bates 46), Roy Wegerle
	13	1996-06-19	A	Columbus	2-2	W	5-8	Trittschuh (Wegerle) 44; Balboa (unassisted) 48	Chris Woods, Marcelo Balboa, Ian Butterworth, Denis Hamlett, Matt Kmosko (Richard Sharpe 88), Steve Trittschuh, Chris Henderson, Shaun Bartlett, Scott Benedetti, Jean Harbor (Dominic Kinnear 46), Roy Wegerle
	14	1996-06-26	A	Los Angeles	1-3	L	5-9	Bartlett (Rodriguez) 4	Chris Woods, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Dominic Kinnear, Felipe Rodriguez (Richard Sharpe 66, Brian Bates 87), Shaun Bartlett, Scott Benedetti, Roy Wegerle
	15	1996-06-30	H	Los Angeles	2-1	W	6-9	Wegerle (unassisted) 23; Bartlett (Wegerle) 56	Chris Woods, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Dominic Kinnear (Brian Bates 87), Shaun Bartlett, Scott Benedetti, Roy Wegerle, Jean Harbor (Scott Cannon 46, Felipe Rodriguez 70)
	16	1996-07-04	H	MetroStars	2-1	W	7-9	own goal (Caricola) 68; Trittschuh (Bartlett, Cannon) 83	Chris Woods, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson (Scott Cannon 82), Dominic Kinnear, Shaun Bartlett, Scott Benedetti, Jean Harbor (Felipe Rodriguez 88), Roy Wegerle
	17	1996-07-07	H	Columbus	2-1	W	8-9	Trittschuh (Henderson) 41; Benedetti (Wegerle) 83	Chris Woods, Matt Kmosko, Denis Hamlett, Scott Cannon, Scott enedetti, Dominic Kinnear (Marcelo Balboa 25), Steve Trittschuh, Chris Henderson, Roy Wegerle, Shaun Bartlett (Brian Bates 69), Jean Harbor (Felipe Rodriguez 69)
	18	1996-07-10	A	Kansas City	0-2	L	8-10		Chris Woods, Ian Butterworth (Brian Bates 62), Scott Cannon, Matt Kmosko, Steve Trittschuh, Chris Henderson, Felipe Rodriguez, Shaun Bartlett, Scott Benedetti, Jean Harbor, Roy Wegerle
	19	1996-07-17	H	San Jose	1-2	L	8-11	Bartlett (Henderson) 80	Chris Woods, Matt Kmosko, Scott Cannon, Steve Trittschuh, Denis Hamlett, Roy Wegerle, Scott Benedetti, Chris Henderson, Felipe Rodriguez, Jean Harbor (Brian Bates 46), Shaun Bartlett
	20	1996-07-21	H	Tampa Bay	1-3	L	8-12	Kmosko (Trittschuh) 61	Chris Woods, Brian Bates, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Shaun Bartlett, Scott Benedetti, Jean Harbor (Marcelo Balboa 62), Roy Wegerle
	21	1996-07-24	H	New England	2-0	W	9-12	Benedetti (Harbor) 59; Bartlett (Henderson) 73	Chris Woods, Marcelo Balboa, Brian Bates, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Shaun Bartlett, Scott Benedetti, Jean Harbor
	22	1996-07-27	A	Dallas	0-3	L	9-13		Chris Woods, Marcelo Balboa, Brian Bates, Ian Butterworth, Scott Cannon (Jean Harbor 75), Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Shaun Bartlett, Scott Benedetti
	23	1996-08-01	H	Los Angeles	2-2	L	9-14	Harbor (Bartlett, Henderson) 9; Balboa (Bartlett) 50	Chris Woods, Marcelo Balboa, Brian Bates, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson (Scott Cannon 46, Richard Sharpe 90), Shaun Bartlett, Scott Benedetti, Jean Harbor
	24	1996-08-03	A	Tampa Bay	1-3	L	9-15	Harbor (Benedetti) 85	Chris Woods, Marcelo Balboa, Brian Bates, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Shaun Bartlett, Scott Benedetti, Jean Harbor, Sean Henderson
	25	1996-08-07	H	Kansas City	4-2	W	10-15	S.Henderson (Bartlett, Balboa) 14; Harbor (Hamlett) 51; Bartlett (Balboa, Benedetti) 78; Balboa (Bartlett) 90	Chris Woods, Marcelo Balboa, Ian Butterworth, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Shaun Bartlett, Scott Benedetti, Jean Harbor (Scott Cannon 56), Roy Wegerle (Brian Bates 17), Sean Henderson
	26	1996-08-11	H	MetroStars	0-2	L	10-16		Chris Woods, Marcelo Balboa, Ian Butterworth (Scott Cannon 21), Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Sean Henderson (Richard Sharpe 60), Shaun Bartlett, Scott Benedetti, Jean Harbor (Brian Bates 46)
	27	1996-08-16	A	New England	0-2	L	10-17		Chris Woods, Marcelo Balboa, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Felipe Rodriguez, Shaun Bartlett, Scott Benedetti, Jean Harbor, Roy Wegerle (Richard Sharpe 20, Brian Bates 80), Sean Henderson
	28	1996-08-25	A	San Jose	0-1	L	10-18		Chris Woods, Brian Bates (Josh McKay 51), Scott Cannon (Richard Sharpe 81), Denis Hamlett, Steve Trittschuh, Chris Henderson, Sean Henderson, Felipe Rodriguez (Ed Pinon 42), Shaun Bartlett, Scott Benedetti, Jean Harbor
	29	1996-08-29	H	DC United	1-2	L	10-19	Harbor (de Vries, Benedetti) 40	Chris Woods, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Sean Henderson, Scott Benedetti, Raimo de Vries, Jean Harbor, Richard Sharpe (Josh McKay 78)
	30	1996-09-05	A	Los Angeles	0-0	W	11-19		Chris Woods, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Sean Henderson, Shaun Bartlett, Scott Benedetti, Raimo de Vries (Josh McKay 85), Jean Harbor
	31	1996-09-08	H	San Jose	1-3	L	11-20	Harbor (unassisted) 28	Chris Woods, Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Sean Henderson, Shaun Bartlett, Scott Benedetti, Raimo de Vries, Jean Harbor (sent off 33)
	OC-QF	1996-09-15	A	Kansas City	3-2	W		Henderson 10; own goal (?) 45; Henderson 85	Chris Woods, Sean Henderson, Denis Hamlett, Steve Trittschuh, Josh McKay, Chris Henderson, Scott Cannon, Matt Kmosko, Roy Wegerle (Raimo deVries, 66), Scott Benedetti, Jean Harbor (Richard Sharpe, 83)
	32	1996-09-21	A	DC United	1-3	L	11-21	Henderson (Rodriguez) 90	Dusty Hudock, Brian Bates (Troy Edwards 46), Scott Cannon, Denis Hamlett, Matt Kmosko, Steve Trittschuh, Chris Henderson, Sean Henderson, Josh McKay (Felipe Rodriguez 69), Scott Benedetti, Raimo de Vries
	OC-SF	1996-10-12	A	Rochester	0-3	L			Chris Woods;Troy Edwards (Scott Cannon, 46), Steve Trittschuh, Dennis Hamlett, Sean Henderson, Matt Kmosko, Scott Bencdetti, Roy Wegerle, Chris Henderson, Jean Harbor (Marcelo Balboa, 79), Shaun Batrtlett.
	1	1997-03-29	A	Columbus	1-1	L	0-1	Trittschuh (Paz) 39 	Paul Grafer, Marcelo Balboa, Steve Trittschuh, Matt Kmosko, Paul Bravo, Tote Castaneda (Brian Bates 84), Chris Henderson, Peter Vermes, Adrian Paz, Wolde Harris (Shaun Bartlett 63), Roy Wegerle 
	2	1997-04-05	H	Columbus	2-0	W	1-1	Wegerle (pk) 24; Harris (Paz, Henderson) 59	Paul Grafer, Peter Vermes, Marcelo Balboa, Steve Trittschuh, Matt Kmosko, Adrian Paz (Brian Bates 83), Paul Bravo (Ross Paule 73), Tote Castaneda, Chris Henderson, Roy Wegerle (Scott Benedetti 63), Wolde Harris 
	3	1997-04-12	H	DC United	2-5	L	1-2	Henderson (Bartlett, Paz) 29; Vermes (Bartlett) 38	Paul Grafer, Steve Trittschuh (Tahj Jakins 83), Matt Kmosko, Peter Vermes, Marcelo Balboa, Tote Castaneda, Adrian Paz, Paul Bravo, Chris Henderson, Roy Wegerle (Scott Benedetti 74), Shaun Bartlett
	4	1997-04-18	A	Los Angeles	1-2	L	1-3	Henderson (Paz) 49 	Paul Grafer, Steve Trittschuh, Tahj Jakins, Matt Kmosko, Paul Bravo, Tote Castaneda (Ross Paule 73), Adrian Paz, Chris Henderson, Roy Wegerle, Wolde Harris, Shaun Bartlett 
	5	1997-04-20	A	Dallas	1-4	L	1-4	Henderson (pk) 73 	Paul Grafer (Marcus Hahnemann 82), Steve Trittschuh, Matt Kmosko, Tahj Jakins, Tote Castaneda (Ross Paule 66), Paul Bravo (Rafael Amaya 72), Roy Wegerle (Sean Henderson 46), Chris Henderson, Scott Benedetti, Adrian Paz, Shaun Bartlett
	6	1997-04-23	H	Dallas	1-0	W	2-4	Bravo (Castaneda) 25	Marcus Hahnemann, Marcelo Balboa, Steve Trittschuh, Matt Kmosko, Peter Vermes, Adrian Paz, Rafael Amaya (Sean Henderson 85), Tote Castaneda (Ross Paule 72), Chris Henderson, Paul Bravo, Roy Wegerle 
	7	1997-04-26	A	New England	1-1	L	2-5	Vermes (Henderson) 90 	Marcus Hahnemann, Steve Trittschuh, Matt Kmosko, Marcelo Balboa, Peter Vermes, Tote Castaneda, Rafael Amaya (Ross Paule 67), Adrian Paz, Chris Henderson, Paul Bravo, Roy Wegerle (Tahj Jakins 78) 
	8	1997-05-03	H	Tampa Bay	2-0	W	3-5	Trittschuh (Henderson) 62; Paz (Henderson, Harris) 76	Marcus Hahnemann, Marcelo Balboa, Steve Trittschuh, Matt Kmosko, Rafael Amaya (Shaun Bartlett 41), Peter Vermes, Tote Castaneda, Adrian Paz, Chris Henderson, Roy Wegerle (Paul Bravo 46), Wolde Harris (Sean Henderson 77)
	9	1997-05-10	A	Tampa Bay	1-2	L	3-6	Trittschuh (Paz, Vermes) 56	Marcus Hahnemann, Marcelo Balboa, Matt Kmosko, Steve Trittschuh, Peter Vermes, Tote Castaneda (David Patino 80), Chris Henderson, Adrian Paz, Tahj Jakins (Sean Henderson 74), Paul Bravo, Wolde Harris (Shaun Bartlett 65) 
	10	1997-05-17	H	Columbus	1-1	W	4-6	Bartlett (Harris, C Henderson) 88	Marcus Hahnemann, Marcelo Balboa, Steve Trittschuh, Matt Kmosko, Peter Vermes, Tote Castaneda, David Patino, Shaun Bartlett, Chris Henderson, Paul Bravo, Wolde Harris
	11	1997-05-24	H	New England	1-2	L	4-7	Harris (Bravo) 12 	Marcus Hahnemann, Steve Trittschuh, Matt Kmosko, Peter Vermes, Marcelo Balboa, Paul Bravo, Tote Castaneda, Sean Henderson, David Patino (Roy Wegerle 75), Adrian Paz (Ross Paule 57), Wolde Harris 
	12	1997-06-01	H	Tampa Bay	2-0	W	5-7	Patino (Balboa, Paz) 75; Vermes (Paz, Balboa) 90	Marcus Hahnemann, Marcelo Balboa, Matt Kmosko, Steve Trittschuh, Peter Vermes, Tote Castaneda, Paul Bravo (Tahj Jakins 66), Shaun Bartlett, Adrian Paz, David Patino, Wolde Harris (Chris Henderson 46, Sean Henderson 78) 
	13	1997-06-07	A	DC United	0-5	L	5-8		Marcus Hahnemann (Paul Grafer 79), Steve Trittschuh, Matt Kmosko, Peter Vermes, Marcelo Balboa, Sean Henderson (Wolde Harris 56), Ross Paule, Tote Castaneda (Tahj Jakins 73), Paul Bravo, David Patino (Rafael Amaya 80), Roy Wegerle
	14	1997-06-13	A	MetroStars	3-1	W	6-8	S.Henderson (Paule, Henderson) 11; Vermes (Patino, Bravo) 54; Paule (Harris, Bravo) 69	Marcus Hahnemann, Steve Trittschuh, Matt Kmosko (sent off 60), Peter Vermes, Marcelo Balboa, Paul Bravo, Chris Henderson (Wolde Harris 67), Sean Henderson, Ross Paule, David Patino (Tahj Jakins 66), Roy Wegerle (Rafael Amaya 83) 
	15	1997-06-15	A	Columbus	2-0	W	7-8	Bravo (unassisted) 41; Wegerle (Henderson) 89	Marcus Hahnemann, Steve Trittschuh, Tahj Jakins, Peter Vermes (Tote Castaneda 32), Marcelo Balboa, Sean Henderson, Ross Paule (Shaun Bartlett 71), Paul Bravo, Chris Henderson, David Patino (Wolde Harris 76), Roy Wegerle 
	16	1997-06-21	H	Los Angeles	2-1	W	8-8	Henderson (Patino, Wegerle) 19; Bravo (Patino) 34	Marcus Hahnemann, Matt Kmosko, Tahj Jakins, Peter Vermes, Marcelo Balboa, Paul Bravo, Sean Henderson, Ross Paule, Chris Henderson (Wolde Harris 72), David Patino (Tote Castaneda 67), Roy Wegerle (Shaun Bartlett 82) 
	17	1997-06-28	H	Kansas City	3-3	L	8-9	S.Henderson (Henderson, Paule) 12; Bravo (Paule) 42; Bravo (unassisted) 87	Marcus Hahnemann, Matt Kmosko, Tahj Jakins, Brian Bates, Sean Henderson, Ross Paule (Chris Martinez 84), Paul Bravo, Tote Castaneda (Adrian Paz 66), Chris Henderson, David Patino, Roy Wegerle (Wolde Harris 58) 
	18	1997-07-04	H	San Jose	3-1	W	9-9	Vermes (Henderson, Bravo) 19; Bravo (Kmosko, Patino) 58; Bravo (Patino) 68	Marcus Hahnemann, Matt Kmosko, Steve Trittschuh, Peter Vermes, Marcelo Balboa, Paul Bravo, Sean Henderson, Ross Paule (Tote Castaneda 61), Chris Henderson, David Patino (Steve Rammel 82), Adrian Paz (Wolde Harris 46) 
