									
									
	1	1996-04-14	H	San Jose	0-0	W	1-0		Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Leonel Alvarez, Chad Ashton (John Kerr 75), Jason Kreis, Lawrence Lozzano, Gerell Elliott, Washington Rodriguez (Jimmy Glenn 82), Ted Eck
	2	1996-04-18	H	Kansas City	3-0	W	2-0	Kreis (Kerr, Eck) 48; Rodriguez (unassisted) 72; Kerr (Kreis) 85	Mark Dodd, Ed Puskarich, Diego Sonora, Brandon Pollard, Lawrence Lozzano (Gerell Elliott 58), Richard Farrer, Chad Ashton (Mark Santel 67), Leonel Alvarez, Jason Kreis, Ted Eck (Washington Rodriguez 63), John Kerr
	3	1996-04-21	A	Colorado	1-3	L	2-1	Kerr (Eck) 59	Mark Dodd, Brandon Pollard, Richard Farrer, Mark Santel, Diego Sonora (Jason Kreis 63), Chad Ashton (Jimmy Glenn 79), Lawrence Lozzano, Gerell Elliott, John Kerr, Washington Rodriguez (Ed Puskarich 66), Ted Eck
	4	1996-04-28	A	Tampa Bay	2-1	W	3-1	Kreis (unassisted) 24; Rodriguez (unassisted) 30	Mark Dodd, Diego Sonora, Mark Santel, Brandon Pollard, Jason Kreis (Chad Ashton 77), Leonel Alvarez, Lawrence Lozzano (Gerell Elliott 72), Washington Rodriguez (Jimmy Glenn 77), Richard Farrer, Ted Eck, John Kerr
	5	1996-05-01	A	DC United	1-3	L	3-2	Rodriguez (pk) 43	Mark Dodd, Ed Puskarich, Mark Santel, Diego Sonora, Gerell Elliott, Leonel Alvarez, Jason Kreis, Richard Farrer, Washington Rodriguez (Chad Ashton 70), Lawrence Lozzano (Ted Eck 70), John Kerr
	6	1996-05-05	H	Columbus	0-0	W	4-2		Mark Dodd, Mark Santel, Richard Farrer, Lawrence Lozzano, Leonel Alvarez (sent off 87), Jason Kreis, Washington Rodriguez, Diego Sonora (Brian Haynes 76), Gerell Elliott, Ted Eck, John Kerr (Chad Ashton 76)
	7	1996-05-11	A	Kansas City	3-2	W	5-2	Kreis (unassisted) 27; Kerr (Kreis) 79; Rodriguez (unassisted) 85	Mark Dodd, Brandon Pollard, Mark Santel, Richard Farrer, Chad Ashton (Jimmy Glenn 82), Lawrence Lozzano, Diego Sonora, Jason Kreis, Brian Haynes (Washington Rodriguez 68), John Kerr, Ted Eck
	8	1996-05-18	H	DC United	3-2	W	6-2	Kreis (Eck, Haynes) 40; Kreis (Rodriguez) 82; Sanchez (Rodriguez) 88	Mark Dodd, Lawrence Lozzano, Mark Santel, Richard Farrer, Brian Haynes, Leonel Alvarez, Chad Ashton (Washington Rodriguez 74), Jason Kreis, Diego Sonora, John Kerr (Hugo Sanchez 45), Ted Eck
	9	1996-05-23	H	Tampa Bay	0-1	L	6-3		Mark Dodd, Mark Santel, Lawrence Lozzano, Richard Farrer, Diego Sonora, Chad Ashton, Jason Kreis, Brian Haynes, Ted Eck (Jorge Rodriguez 68), John Kerr, Hugo Sanchez
	10	1996-05-29	A	Colorado	0-2	L	6-4		Mark Dodd, Mark Santel, Lawrence Lozzano, Richard Farrer, Chad Ashton (Ed Puskarich 78), John Kerr (Jimmy Glenn 74), Jason Kreis (Washington Rodriguez 61), Brian Haynes, Diego Sonora, Ted Eck, Hugo Sanchez
	11	1996-06-02	H	MetroStars	0-1	L	6-5		Mark Dodd, Ed Puskarich, Diego Sonora (Jorge Flores 85), Richard Farrer, Mark Santel, Brian Haynes (Jimmy Glenn 85), Jason Kreis, Lawrence Lozzano, Washington Rodriguez (sent off 67), John Kerr (Ted Eck 72), Hugo Sanchez
	12	1996-06-08	H	San Jose	4-1	W	7-5	Sanchez (Sonora, Santel) 15; Kreis (Alvarez) 33; own goal (Emenalo) 44; Sonora (Kreis) 65	Mark Dodd, Brandon Pollard, Ed Puskarich, Diego Sonora, Richard Farrer, Mark Santel, Leonel Alvarez (Chad Ashton 82), Brian Haynes (John Kerr 71), Jason Kreis (Ted Eck 74), Lawrence Lozzano, Hugo Sanchez
	13	1996-06-15	H	Colorado	1-1	W	8-5	Sanchez (Santel) 73	Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano, Washington Rodriguez (Chad Ashton 76), Hugo Sanchez
	14	1996-06-19	A	MetroStars	0-0	L	8-6		Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano, Washington Rodriguez, Hugo Sanchez
	15	1996-06-23	A	New England	4-1	W	9-6	Lozzano (Sonora) 36; Farrer (unassisted) 48; Santel (Alvarez) 60; Haynes (Sonora) 89	Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Mark Santel, Leonel Alvarez (sent off 80), Chad Ashton, Lawrence Lozzano, Ted Eck (Jorge Flores 86), Washington Rodriguez (Brian Haynes 72), Hugo Sanchez (Jason Kreis 72)
	16	1996-06-29	H	Kansas City	0-1	L	9-7		Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Mark Santel, Chad Ashton (Zak Ibsen 56), Brian Haynes, Jason Kreis, Lawrence Lozzano, Ted Eck, Hugo Sanchez (Jorge Flores 46)
	17	1996-07-04	H	DC United	1-1	W	10-7	Kreis (Sanchez) 33	Mark Dodd, Ed Puskarich, Richard Farrer, Zak Ibsen, Mark Santel, Diego Sonora, Jorge Flores (Chad Ashton 67), Brian Haynes (Gerell Elliott 64), Lawrence Lozzano (Ted Eck 76), Jason Kreis, Hugo Sanchez
	18	1996-07-07	A	DC United	1-6	L	10-8	Ashton (unassisted) 69	Mark Dodd (Jeff Cassar 76), Ed Puskarich, Diego Sonora, Richard Farrer (Ted Eck 58), Zak Ibsen, Mark Santel, Jorge Flores (Chad Ashton 46), Brian Haynes, Jason Kreis, Lawrence Lozzano, Hugo Sanchez (Rene Ortiz 68)
	19	1996-07-10	A	MetroStars	2-3	L	10-9	Alvarez (pk) 63; Sanchez (unassisted) 66	Mark Dodd, Ed Puskarich, Diego Sonora (Jimmy Glenn 86), Richard Farrer, Zak Ibsen (Brian Haynes 79), Mark Santel, Leonel Alvarez, Jason Kreis, Lawrence Lozzano, Ted Eck, Hugo Sanchez
	20	1996-07-17	H	Los Angeles	5-2	W	11-9	Kreis (Alvarez) 23; Ibsen (Elliott) 28; Kreis (Eck) 47; Haynes (unassisted) 69; Elliott (Alvarez, Eck) 83	Mark Dodd, Diego Sonora (Chad Ashton 70), Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes (Jorge Flores 76), Jason Kreis, Lawrence Lozzano, Ted Eck (Jimmy Glenn 85), Gerell Elliott
	21	1996-07-20	A	Kansas City	2-1	W	12-9	Kreis (Sanchez) 13; Elliott (Sonora) 75	Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano, Gerell Elliott, Hugo Sanchez (Ted Eck 73)
	22	1996-07-27	H	Colorado	3-0	W	13-9	Alvarez (Sanchez) 53; Sanchez (pk) 64; Elliott (Sonora) 78	Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano, Gerell Elliott, Hugo Sanchez
	23	1996-07-31	A	Columbus	2-1	W	14-9	Kreis (Elliott, Haynes) 27; Lozzano (Elliott) 47	Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen (Brandon Pollard 80), Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano, Gerell Elliott (Chad Ashton 81), Hugo Sanchez (Ted Eck 67)
	24	1996-08-10	H	Tampa Bay	2-1	W	15-9	Alvarez (unassisted) 16; Haynes (Alvarez) 32	Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes (Ted Eck 75), Jason Kreis (Chad Ashton 81), Lawrence Lozzano, Gerell Elliott, Hugo Sanchez (Ed Puskarich 88)
	25	1996-08-14	H	Columbus	2-2	L	15-10	Elliott (Sonora, Kreis) 73; Elliott (Lozzano) 76	Mark Dodd, Ed Puskarich, Diego Sonora, Richard Farrer, Zak Ibsen, Brian Haynes, Jason Kreis, Lawrence Lozzano, Ted Eck (Jorge Flores 68), Gerell Elliott, Hugo Sanchez
	26	1996-08-22	A	San Jose	0-0	L	15-11		Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis (Chad Ashton 87), Lawrence Lozzano, Gerell Elliott, Hugo Sanchez (sent off 82)
	27	1996-08-25	A	Los Angeles	3-2	W	16-11	Sonora (Eck) 23; Kreis (unassisted) 32; Washington (Haynes, Elliott) 76	Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen (Dante Washington 70), Mark Santel, Leonel Alvarez, Brian Haynes (Chad Ashton 77), Jason Kreis, Lawrence Lozzano, Ted Eck, Gerell Elliott
	28	1996-09-04	A	New England	1-2	L	16-12	Eck (Kreis, Elliott) 74	Mark Dodd, Brandon Pollard, Diego Sonora, Richard Farrer, Zak Ibsen, Mark Santel, Leonel Alvarez, Brian Haynes (Dante Washington 74), Jason Kreis, Gerell Elliott, Hugo Sanchez (Ted Eck 62)
	29	1996-09-07	H	New England	0-2	L	16-13		Mark Dodd, Diego Sonora, Richard Farrer, Zak Ibsen (Dante Washington 67), Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis, Lawrence Lozzano (Ed Puskarich 80), Gerell Elliott, Hugo Sanchez (Ted Eck 69)
	30	1996-09-11	A	San Jose	2-2	W	17-13	Haynes (Sonora, Elliott) 79; Kreis (unassisted) 87	Mark Dodd, Diego Sonora, Brandon Pollard, Richard Farrer, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis (Chad Ashton 88), Lawrence Lozzano, Gerell Elliott, Dante Washington (Hugo Sanchez 89)
	OC-QF	1996-09-16	H	Seattle	3-2	W		Lozzano 58; Elliott 70; Eck 79	Mark Dodd (Jeff Cassar 84), Richard Farrer, Brandon Pollard, Ed Puskarich, Lawrence Lozzano (Tom Soehn 84), Mark Santel, Jorge Flores, Chad Ashton (Dante Washington 79), Leonel Alvarez (Zak Ibsen 59), Ted Eck, Gerell Elliott (Jimmy Glenn 86)
	31	1996-09-19	H	Los Angeles	1-2	L	17-14	Sanchez (unassisted) 23	Mark Dodd, Brandon Pollard, Diego Sonora, Richard Farrer, Mark Santel, Leonel Alvarez, Brian Haynes, Jason Kreis (Dante Washington 71), Lawrence Lozzano (Zak Ibsen 82), Gerell Elliott, Hugo Sanchez
	32	1996-09-22	A	Los Angeles	1-2	L	17-15	Eck (Elliott) 89	Jeff Cassar, Rene Ortiz (Gerell Elliott 74), Brandon Pollard, Ed Puskarich (Mark Santel 20), Zak Ibsen, Chad Ashton, Jorge Flores, Lawrence Lozzano, Ted Eck, Hugo Sanchez (Jimmy Glenn 46), Dante Washington
