									
									
	1	1996-04-06	A	San Jose	0-1	L	0-1		Jeff Causey, Said Fazlagic, Jeff Agoos, Thor Lee, Mario Gori, Richie Williams (Erik Imler 87), John Harkes, Marco Etcheverry, Shawn Medved (Mike Huwiler 71), Juan Berthy Suarez, Raul Diaz Arce
	2	1996-04-13	A	Columbus	0-4	L	0-2		Jeff Causey, Mario Gori (Sterling Wescott 66), Jeff Agoos, Thor Lee (Said Fazlagic 46), Erik Imler, John Harkes, Mike Huwiler, Richie Williams, Shawn Medved, Raul Diaz Arce (Jesse Marsch 58), Marco Etcheverry
	3	1996-04-20	H	Los Angeles	1-2	L	0-3	Diaz Arce (Medved, Williams) 7	Jeff Causey, Jeff Agoos, Clint Peay, Eddie Pope, Mario Gori (Brian Kamler 46), John Harkes, Richie Williams, Sterling Wescott (Erik Imler 78), Shawn Medved (Jesse Marsch 61), Steve Rammel, Raul Diaz Arce
	4	1996-04-27	A	New England	1-1	L	0-4	Diaz Arce (Kelderman, Williams) 69	Jeff Causey, Eddie Pope, Clint Peay, Jeff Agoos, Erik Imler, Shawn Medved (Brian Kamler 87), Richie Williams, John Harkes, Kris Kelderman, Raul Diaz Arce, Steve Rammel (Ben Crawley 66)
	5	1996-05-01	H	Dallas	3-1	W	1-4	Diaz Arce (pk) 15; Etcheverry (unassisted) 53; Rammel (Harkes) 64	Jeff Causey, Clint Peay, Erik Imler, Jeff Agoos (Shawn Medved 87), Brian Kamler, Marco Etcheverry, John Harkes, Kris Kelderman, Richie Williams, Steve Rammel (Mike Huwiler 86), Raul Diaz Arce
	6	1996-05-05	A	Los Angeles	1-3	L	1-5	Rammel (Kelderman) 28	Jeff Causey, Erik Imler (Ben Crawley 76), Clint Peay, Jeff Agoos, Brian Kamler, Kris Kelderman (Shawn Medved 67), Richie Williams, John Harkes, Marco Etcheverry, Steve Rammel, Raul Diaz Arce
	7	1996-05-12	H	MetroStars	1-1	L	1-6	Harkes (Sanneh) 11	Jeff Causey, Mike Huwiler, Clint Peay, Eddie Pope, Jeff Agoos, Richie Williams, Tony Sanneh (Shawn Medved 54), Marco Etcheverry, John Harkes, Raul Diaz Arce, Juan Berthy Suarez (Ben Crawley 70)
	8	1996-05-15	H	Columbus	5-2	W	2-6	Rammel (Harkes) 28; Rammel (Etcheverry) 48; Rammel (Kamler) 53; Diaz Arce (Rammel, Etcheverry) 67; Diaz Arce (Etcheverry) 70	Jeff Causey, Mike Huwiler (Brian Kamler 45), Eddie Pope, Clint Peay, Jeff Agoos, Richie Williams, John Maessner (Marco Etcheverry 45), John Harkes, Tony Sanneh, Raul Diaz Arce, Steve Rammel (Ben Crawley 76)
	9	1996-05-18	A	Dallas	2-3	L	2-7	Sanneh (Etcheverry) 65; Agoos (Etcheverry) 90	Jeff Causey, Brian Kamler, Erik Imler, Clint Peay, Jeff Agoos, Richie Williams, John Maessner (Marco Etcheverry 45), John Harkes, Tony Sanneh (Mario Gori 80), Raul Diaz Arce (Ben Crawley 80), Steve Rammel
	10	1996-05-30	A	MetroStars	2-1	W	3-7	Rammel (Etcheverry) 19; Sanneh (Etcheverry, Gori) 32	Jeff Causey, Erik Imler (Clint Peay 37), Eddie Pope, Mario Gori, Jeff Agoos, Kris Kelderman (John Maessner 72), Richie Williams, John Harkes, Marco Etcheverry, Tony Sanneh, Steve Rammel (Shawn Medved 83)
	11	1996-06-02	A	Colorado	2-2	W	4-7	Diaz Arce (Williams, Kelderman) 34; Maessner (unassisted) 88	Jeff Causey, Jeff Agoos, Mario Gori, Clint Peay, David Vaudreuil (Erik Imler 78), Marco Etcheverry, Kris Kelderman (Shawn Medved 80), John Maessner, Tony Sanneh, Richie Williams, Raul Diaz Arce (Steve Rammel 70)
	12	1996-06-05	H	San Jose	3-1	W	5-7	Diaz Arce (Harkes, Rammel) 23; Rammel (Etcheverry) 36; Rammel (Agoos) 49	Jeff Causey, David Vaudreuil, Eddie Pope, Clint Peay, Jeff Agoos, Richie Williams, Tony Sanneh, John Harkes, Marco Etcheverry (John Maessner 68), Raul Diaz Arce, Steve Rammel (Kris Kelderman 87)
	13	1996-06-20	A	Kansas City	1-5	L	5-8	Sanneh (Etcheverry) 42	Jeff Causey (Mark Simpson 46), Jeff Agoos (Erik Imler 46), Mario Gori, David Vaudreuil, Marco Etcheverry (Shawn Medved 70), George Gelnovatch, John Harkes, Tony Sanneh, Richie Williams (sent off 5), Raul Diaz Arce (Kris Kelderman 46), Steve Rammel
	14	1996-06-23	A	San Jose	1-2	L	5-9	Diaz Arce (Gori, Sanneh) 50	Mark Simpson, Jeff Agoos, Erik Imler, David Vaudreuil, Kris Kelderman, Marco Etcheverry, George Gelnovatch (Mario Gori 46), John Harkes, Tony Sanneh (John Maessner 71), Raul Diaz Arce, Steve Rammel
	15	1996-06-30	H	New England	3-1	W	6-9	Rammel (unassisted) 1; Diaz Arce (Harkes) 46; Harkes (unassisted) 89	Mark Simpson, Jeff Agoos, Mario Gori (Brian Kamler 69), Erik Imler, David Vaudreuil, Marco Etcheverry, John Harkes, Shawn Medved (John Maessner 62), Richie Williams, Raul Diaz Arce, Steve Rammel (Tony Sanneh 62)
	16	1996-07-04	A	Dallas	1-1	L	6-10	Diaz Arce (Agoos) 61	Mark Simpson, Jeff Agoos, Mario Gori (Brian Kamler 83), Erik Imler, David Vaudreuil, John Harkes, Shawn Medved (Kris Kelderman 76), Tony Sanneh, Richie Williams, Raul Diaz Arce, Steve Rammel (John Maessner 55)
	17	1996-07-07	H	Dallas	6-1	W	7-10	Diaz Arce (Rammel) 3; Rammel (Harkes) 18; Diaz Arce (Sanneh) 48; Diaz Arce (unassisted) 61; Diaz Arce (Agoos) 63; Rammel (Gori) 77	Jeff Causey, Jeff Agoos, Mario Gori, Erik Imler, David Vaudreuil, John Harkes (Jesse Marsch 77), Shawn Medved (John Maessner 46), Tony Sanneh, Richie Williams (Kris Kelderman 72), Raul Diaz Arce, Steve Rammel
	18	1996-07-12	H	Tampa Bay	1-0	W	8-10	Etcheverry (Maessner) 72	Mark Simpson, Jeff Agoos, Mario Gori, Erik Imler, David Vaudreuil, Marco Etcheverry, John Harkes (Shawn Medved 46), Tony Sanneh, Richie Williams, Raul Diaz Arce, Steve Rammel (John Maessner 71)
