									
									
	1	2006-04-02	H	Colorado	5-2	W	1-0-0	Ching 1 (Barrett 1, De Rosario 1) 13; Ching 2 (Mullan 1, De Rosario 2) 37; Ching 3 (Mullan 2, De Rosario 3) 44; Ching 4 (De Rosario 4) 72; Moreno 1 (unassisted) 92+	Pat Onstad, Kelly Gray, Ryan Cochrane, Kevin Goldthwaite, Wade Barrett, Ricardo Clark, Dwayne De Rosario, Adrian Serioux, Brian Mullan, Brian Ching, Alejandro Moreno.
	2	2006-04-08	H	Kansas City	1-2	L	1-1-0	Ching 5 (Goldthwaite 1) 64	Pat Onstad, Kelly Gray, Ryan Cochrane, Adrian Serioux, Kevin Goldthwaite, Brian Mullan, Ricardo Clark (Ronald Cerritos 87), Dwayne De Rosario (sent off 77), Wade Barrett (Brad Davis 95+), Brian Ching, Alejandro Moreno (Eddie Robinson 79).
	3	2006-04-15	A	DC United	0-2	L	1-2-0		Pat Onstad, Kelly Gray (Ronald Cerritos 59), Ryan Cochrane, Craig Waibel (Kevin Goldthwaite 72), Wade Barrett, Brian Mullan, Ricardo Clark, Adrian Serioux, Brad Davis, Brian Ching, Alejandro Moreno,
	4	2006-04-22	H	Real Salt Lake	2-1	W	2-2-0	Waibel 1 (Davis 1) 60; De Rosario 1 (Ching 1, Robinson 1) 84	Pat Onstad, Eddie Robinson, Craig Waibel, Wade Barrett, Dwayne De Rosario, Brian Mullan, Ricardo Clark, Adrian Serioux, Brad Davis, Brian Ching, Alejandro Moreno (Ronald Cerritos 78).
	5	2006-04-29	A	Colorado	1-0	W	3-2-0	Ching 6 (unassisted) 16	Pat Onstad, Craig Waibel, Eddie Robinson, Adrian Serioux, Wade Barrett, Brian Mullan, Ricardo Clark, Dwayne De Rosario, Brad Davis (Kevin Goldthwaite 82), Brian Ching (Ronald Cerritos 89), Alejandro Moreno (sent off 86)
	6	2006-05-06	H	Dallas	4-3	W	4-2-0	Clark 1 (Robinson 1) 31; Ching 7 (Davis 2) 35; De Rosario 2 (Ching 2) 45; De Rosario 3 (Davis 3) 67	Pat Onstad, Craig Waibel, Eddie Robinson, Adrian Serioux, Wade Barrett, Brian Mullan, Ricardo Clark, Dwayne De Rosario, Brad Davis, Brian Ching, Ronald Cerritos.
	7	2006-05-13	A	Dallas	1-1	D	4-2-1	own goal (Clarence Goodson) 81	Pat Onstad, Craig Waibel, Eddie Robinson, Adrian Serioux (Julian Nash 70), Wade Barrett, Brian Mullan, Ricardo Clark, Dwayne De Rosario (Ryan Cochrane 39), Brad Davis (Kevin Goldthwaite 62), Ronald Cerritos, Alejandro Moreno,
	8	2006-05-20	H	Chicago	0-1	L	4-3-1		Pat Onstad, Craig Waibel (Kelly Gray 86), Ryan Cochrane (Kevin Goldthwaite 77), Eddie Robinson, Wade Barrett, Brian Mullan, Ricardo Clark, Dwayne De Rosario, Brad Davis, Alejandro Moreno, Ronald Cerritos (Julian Nash 77).
	9	2006-05-27	A	New England	1-1	D	4-3-2	Cochrane 1 (Barrett 2) 85	Pat Onstad, Eddie Robinson, Craig Waibel (Kelly Gray 77), Ryan Cochrane, Kevin Goldthwaite (Julian Nash 73), Brian Mullan, Ricardo Clark, Dwayne De Rosario (Stuart Holden 80), Wade Barrett, Alejandro Moreno, Ronald Cerritos.
	10	2006-06-03	H	Los Angeles	2-1	W	5-3-2	De Rosario 4 (Moreno 1, Davis 4) 22; Robinson 1 (Davis 5) 85	Pat Onstad, Craig Waibel, Ryan Cochrane, Eddie Robinson, Wade Barrett, Brian Mullan, Ricardo Clark, Dwayne De Rosario, Brad Davis, Ronald Cerritos (Julian Nash 77), Alejandro Moreno,
