									
									
	1	1996-04-13	H	Colorado	3-0	W	1-0	Takawira (Chung) 71; Klopas (unassisted) 77; Takawira (Eichmann) 83	Pat Harrington, Samuel Ekeme, Sean Bowers, Tommy Reasoner (Scott Uderitz 83), Uche Okafor, Matt McKeon, Preki, Mark Chung, Eric Eichmann, Frank Klopas (Diego Gutierrez 83), Vitalis Takawira
	2	1996-04-18	A	Dallas	0-3	L	1-1		Pat Harrington, Tommy Reasoner, Sean Bowers (Scott Uderitz 83), Samuel Ekeme, Uche Okafor, Matt McKeon, Preki, Mark Chung, Eric Eichmann (Paul Wright 58), Frank Klopas (Alan Prampin 78), Vitalis Takawira
	3	1996-04-21	A	San Jose	2-2	W	2-1	Okafor 16; Prampin 86	Pat Harrington, Uche Okafor, Sean Bowers, Samuel Ekeme (sent off 47), Matt McKeon (Scott Uderitz 70), Tommy Reasoner, Preki, Mark Chung, Frank Klopas (Eric Eichmann 45), Paul Wright (Alan Prampin 85), Vitalis Takawira
	4	1996-05-02	H	Columbus	6-4	W	3-1	Chung (Preki, Sorber) 5; Johnston (Preki) 47; Preki (pk) 67; Johnston (Takawira) 70; Sorber (Gutierrez) 77; Preki (Takawira) 88	Pat Harrington, Tommy Reasoner, Sean Bowers, Uche Okafor, Scott Uderitz, Paul Wright (Diego Gutierrez 64), Mike Sorber, Mark Chung, Preki, Mo Johnston, Vitalis Takawira
	5	1996-05-05	A	Colorado	0-4	L	3-2		Pat Harrington (Garth Lagerwey 45), Tommy Reasoner (Frank Klopas 45), Sean Bowers, Samuel Ekeme, Uche Okafor, Mike Sorber, Preki, Mark Chung, Diego Gutierrez, Vitalis Takawira (Eric Eichmann 78), Mo Johnston
	6	1996-05-08	A	Tampa Bay	0-2	L	3-3		Pat Harrington, Samuel Ekeme, Uche Okafor, Sean Bowers, Diego Gutierrez, Paul Wright, Mike Sorber (Scott Uderitz 46), Preki, Mark Chung (Vitalis Takawira 64), Frank Klopas (Eric Eichmann 82), Mo Johnston
	7	1996-05-11	H	Dallas	2-3	L	3-4	Preki (pk) 38; Preki (Johnston, Klopas) 45	Pat Harrington, Scott Uderitz (sent off 84), Uche Okafor, Sean Bowers, Samuel Ekeme, Mark Chung, Preki, Frank Klopas (Eric Eichmann 78), Paul Wright (Alan Prampin 61), Vitalis Takawira, Mo Johnston
	8	1996-05-19	A	Los Angeles	0-2	L	3-5		Garth Lagerwey, Kevin Koetters, Samuel Ekeme, Uche Okafor, Sean Bowers, Paul Wright (Alan Prampin 79), Preki, Frank Klopas (Diego Gutierrez 14), Mark Chung, Mo Johnston, Vitalis Takawira
	9	1996-05-22	H	MetroStars	2-1	W	4-5	Prampin (Preki) 82; Preki (Johnston) 87	Garth Lagerwey, Samuel Ekeme, Uche Okafor, Sean Bowers, Diego Gutierrez (Alan Prampin 72), Eric Eichmann (Paul Wright 79), Scott Uderitz (Kevin Koetters 72), Preki, Mark Chung, Vitalis Takawira, Mo Johnston
	10	1996-05-29	A	San Jose	1-2	L	4-6	Allnutt (Chung) 70	Garth Lagerwey, Samuel Ekeme, Uche Okafor, Sean Bowers, Scott Uderitz, Tommy Reasoner (Diego Gutierrez 68), Mark Chung, Preki, Alan Prampin, Eric Eichmann (Yari Allnut 46), Mo Johnston
	11	1996-06-01	H	New England	2-1	W	5-6	Preki (Uderitz) 80; Johnston (Preki) 89	Garth Lagerwey, Sean Bowers (Tommy Reasoner 76), Samuel Ekeme, Uche Okafor, Scott Uderitz, Mark Chung, Diego Gutierrez (Paul Wright 70), Alan Prampin, Preki, Mike Sorber (Kevin Koetters 70), Mo Johnston
	12	1996-06-05	H	Tampa Bay	1-3	L	5-7	Preki (pk) 86	Garth Lagerwey, Samuel Ekeme, Uche Okafor, Sean Bowers, Scott Uderitz, Mike Sorber (Kevin Koetters 76), Mark Chung, Preki, Diego Gutierrez, Paul Wright (Vitalis Takawira 60), Mo Johnston
	13	1996-06-08	A	Columbus	3-3	W	6-7	Takawira (Chung, Koetters) 1; Uderitz (Preki) 50; Preki (pk) 60	Garth Lagerwey (Pat Harrington 46), Sean Bowers, Samuel Ekeme, Uche Okafor (Tommy Reasoner 46), Scott Uderitz, Mark Chung, Diego Gutierrez (Eric Eichmann 46), Kevin Koetters, Preki, Mo Johnston, Vitalis Takawira
	14	1996-06-15	A	New England	1-1	L	6-8	Preki (unassisted) 75	Garth Lagerwey, Sean Bowers, Samuel Ekeme, Diego Gutierrez, Uche Okafor, Scott Uderitz (Paul Wright 73), Mark Chung, Frank Klopas (Eric Eichmann 46), Kevin Koetters, Preki, Mo Johnston
	15	1996-06-20	H	DC United	5-1	W	7-8	Preki (pk) 6; Takawira (Chung, Gutierrez) 28; Chung (unassisted) 30; Sorber (Chung, Preki) 35; Takawira (Chung) 54	Garth Lagerwey, Sean Bowers, Diego Gutierrez (Tommy Reasoner 73), Uche Okafor, Scott Uderitz, Mark Chung, Kevin Koetters, Preki, Mike Sorber, Mo Johnston (Alan Prampin 73), Vitalis Takawira (Frank Klopas 54)
	16	1996-06-26	A	MetroStars	0-2	L	7-9		Garth Lagerwey, Sean Bowers, Samuel Ekeme, Diego Gutierrez, Uche Okafor, Scott Uderitz (Eric Eichmann 75), Mark Chung, Preki, Mike Sorber, Mo Johnston, Vitalis Takawira (Frank Klopas 65)
	17	1996-06-29	A	Dallas	1-0	W	8-9	Sorber (Bowers) 39	Garth Lagerwey, Sean Bowers, Samuel Ekeme (Tommy Reasoner 66), Diego Gutierrez, Uche Okafor, Scott Uderitz, Mark Chung, Frank Klopas (Vitalis Takawira 56), Preki, Mike Sorber, Mo Johnston
	18	1996-07-06	H	Los Angeles	3-1	W	9-9	Uderitz (Gutierrez) 3; Preki (unassisted) 56; Takawira (Bowers) 85	Garth Lagerwey, Sean Bowers, Samuel Ekeme, Diego Gutierrez (Tommy Reasoner 86), Uche Okafor, Scott Uderitz, Mark Chung (Frank Klopas 87), Preki, Mike Sorber, Mo Johnston, Vitalis Takawira
	19	1996-07-10	H	Colorado	2-0	W	10-9	Klopas (Preki) 55; Okafor (Chung, Takawira) 82	Garth Lagerwey, Sean Bowers, Samuel Ekeme, Uche Okafor, Tommy Reasoner (Frank Klopas 46), Scott Uderitz, Mark Chung, Preki, Mike Sorber (Alan Prampin 87), Mo Johnston, Vitalis Takawira
