									
									
	1	1996-04-13	H	MetroStars	2-1	W	1-0	Jones (Hurtado) 37; Noamouz (unassisted) 56	Jorge Campos, Dan Calichman, Robin Fraser, Arash Noamouz, Mark Semioli, Manny Motajo, Cobi Jones (Brad Wilson 65), Mauricio Cienfuegos, Chris Armas, Eduardo Hurtado, Harut Karapetyan (Andrew Shue 65)
	2	1996-04-20	A	DC United	2-1	W	2-0	Cienfuegos (pk) 21; Salcedo (Vasquez) 72	Jorge Campos, Manny Motajo, Dan Calichman, Robin Fraser, Mark Semioli, Arash Noamouz, Chris Armas (Jorge Salcedo 63), Mauricio Cienfuegos, Cobi Jones, Eduardo Hurtado, Harut Karapetyan (Jose Vasquez 50)
	3	1996-04-28	H	San Jose	2-1	W	3-0	Vasquez (Jones) 26; Cienfuegos (unassisted) 44	Jorge Campos, Dan Calichman, Robin Fraser, Manny Motajo, Mauricio Cienfuegos, Chris Armas (Jorge Salcedo 84), Mark Semioli, Arash Noamouz, Cobi Jones, Jose Vasquez (John Garvey 72), Eduardo Hurtado
	4	1996-05-05	H	DC United	3-1	W	4-0	Vasquez (Cienfuegos, Semioli) 42; Hurtado (Salcedo) 53; Salcedo (unassisted) 71	Jorge Campos, Mark Semioli, Dan Calichman, Robin Fraser, Manny Motajo, Arash Noamouz (Jorge Salcedo 46, Greg Vanney 80), Chris Armas, Mauricio Cienfuegos, Cobi Jones, Eduardo Hurtado, Jose Vasquez (John Garvey 74)
	5	1996-05-12	A	San Jose	2-1	W	5-0	Hurtado (Semioli, Karapetyan) 9; Vanney (unassisted) 82	Jorge Campos, Robin Fraser, Dan Calichman, Manny Motajo, Mark Semioli, Arash Noamouz (Greg Vanney 62), Mauricio Cienfuegos, Jorge Salcedo (Brad Wilson 76), Cobi Jones, Harut Karapetyan (Andrew Shue 76), Eduardo Hurtado
	6	1996-05-19	H	Kansas City	2-0	W	6-0	Cienfuegos (unassisted) 23; Hurtado (Cienfuegos) 86	Jorge Campos, Robin Fraser, Dan Calichman, Manny Motajo, Mark Semioli, Arash Noamouz (Greg Vanney 60), Jorge Salcedo (Brad Wilson 66), Mauricio Cienfuegos, Cobi Jones, Harut Karapetyan (John Garvey 70), Eduardo Hurtado
	7	1996-05-26	H	Columbus	3-2	W	7-0	Karapetyan (Hurtado) 29; Karapetyan (Hurtado) 50; Hurtado (Motajo) 68	Jorge Campos, Robin Fraser, Dan Calichman, Manny Motajo, Mark Semioli, Arash Noamouz (Brad Wilson 67), Jorge Salcedo (Greg Vanney 67), Mauricio Cienfuegos (John Garvey 20, David Kramer 79), Chris Armas, Harut Karapetyan, Eduardo Hurtado
	8	1996-06-01	A	Tampa Bay	2-1	W	8-0	Jara (Jones) 30; Karapetyan (Cienfuegos) 59	Jorge Campos, Dan Calichman, Robin Fraser, Manny Motajo, Mark Semioli, Chris Armas (Jorge Salcedo 16), Mauricio Cienfuegos, Greg Vanney, Cobi Jones, Guillermo Jara (Andrew Shue 75), Harut Karapetyan (Brad Wilson 85)
	9	1996-06-06	A	New England	2-2	W	9-0	Jones (unassisted) 39; Semioli (unassisted) 86	Jorge Campos, Dan Calichman, Robin Fraser, Manny Motajo, Mark Semioli, Mauricio Cienfuegos, Jorge Salcedo (Brad Wilson 71), Greg Vanney, Cobi Jones, Eduardo Hurtado, Harut Karapetyan (Guillermo Jara 61)
	10	1996-06-09	A	MetroStars	4-0	W	10-0	Hurtado (Jara) 14; Hurtado (Jara) 26; Hurtado (pk) 81; Razov (Hurtado, Shue) 86	Jorge Campos, Manny Motajo, Mark Semioli, Dan Calichman, Jorge Salcedo, Greg Vanney, Brad Wilson, Mauricio Cienfuegos, Guillermo Jara (Andrew Shue 56), Harut Karapetyan (Ante Razov 53), Eduardo Hurtado
