									
									
	1	1998-03-15	H	DC United	0-2	L	0-1		Jeff Cassar, Leo Cullen, Wade Webber, Cle Kooiman, Matt Kmosko, Henry Gutierrez (David Vaudreuil 66), Diego Serna (Kris Kelderman 79), John Maessner, Marcelo Herrera, Carlos Valderrama, Dan Stebbins.
	2	1998-03-21	H	Chicago	0-2	L	0-2		Jeff Cassar, Cle Kooiman, Leo Cullen (Dan Stebbins 83), Wade Webber, Matt Kmosko, Diego Serna (Pablo Mastroeni 74), Henry Gutierrez, David Vaudreuil, Marcelo Herrera, Carlos Valderrama, Jerry Tamashiro
	3	1998-03-26	A	Tampa Bay	0-0	W	1-2		Jeff Cassar, Leo Cullen, Wade Webber, Cle Kooiman, Kris Kelderman (John Maessner 73), Henry Gutierrez, Diego Serna (Dan Stebbins 46), Matt Kmosko, David Vaudreuil, Marcelo Herrera, Jerry Tamashiro
	4	1998-04-04	H	New England	2-1	W	2-2	Tamashiro (Cullen, Herrera) 27; Serna (Herrera, Vaudreuil) 62	Jeff Cassar, Cle Kooiman, Leo Cullen, Wade Webber, David Vaudreuil, Henry Gutierrez (Kris Kelderman 74), John Maessner (Diego Serna 46), Matt Kmosko, Marcelo Herrera, Carlos Valderrama (sent off 13), Jerry Tamashiro (Dan Stebbins 46)
	5	1998-04-11	H	Kansas City	1-1	W	3-2	Gutierrez, H. (unassisted) 24	Jeff Cassar, Leo Cullen, Cle Kooiman, Wade Webber, Matt Kmosko, David Vaudreuil, Henry Gutierrez, Marcelo Herrera (Kris Kelderman 89), John Maessner, Nelson Vargas (Diego Serna 60), Jerry Tamashiro (Dan Stebbins 46)
	6	1998-04-18	A	Columbus	1-5	L	3-3	Stebbins (unassisted) 51	Jeff Cassar, Wade Webber (Nelson Vargas 68), Leo Cullen, Cle Kooiman, Matt Kmosko, John Maessner (Jerry Tamashiro 63), Henry Gutierrez, David Vaudreuil, Carlos Valderrama, Marcelo Herrera, Dan Stebbins
	7	1998-04-25	A	New England	0-3	L	3-4		Jeff Cassar, Leo Cullen, Matt Kmosko, Cle Kooiman, David Vaudreuil (Jerry Tamashiro 46), Wade Webber, Henry Gutierrez (Kris Kelderman 68), Marcelo Herrera, Carlos Valderrama, Nelson Vargas (John Maessner 46), Dan Stebbins
	8	1998-05-02	H	Colorado	3-2	W	4-4	Stebbins (Valderrama) 41; Vaudreuil (Serna) 52; Vaudreuil (Kelderman) 65	Jeff Cassar, Leo Cullen, Matt Kmosko, David Vaudreuil, Wade Webber, Henry Gutierrez (sent off 47), Marcelo Herrera (sent off 59), Pablo Mastroeni (John Maessner 63), Carlos Valderrama, Diego Serna (Jerry Tamashiro 78), Dan Stebbins (Kris Kelderman 60)
	9	1998-05-09	H	Columbus	2-0	W	5-4	Stebbins (Valderrama, Mastroeni) 13; Tamashiro (Kelderman, Serna) 82	Jeff Cassar, Leo Cullen, Cle Kooiman, Matt Kmosko, Kris Kelderman, David Vaudreuil, Diego Serna, Pablo Mastroeni (Nelson Vargas 71), Carlos Valderrama, Brian Taylor (John Maessner 58), Dan Stebbins (Jerry Tamashiro 75)
	10	1998-05-16	A	San Jose	0-2	L	5-5		Jeff Cassar, Leo Cullen, Wade Webber (Brian Taylor 81), Cle Kooiman, Matt Kmosko, Marcelo Herrera, Henry Gutierrez, Diego Serna (Jerry Tamashiro 70), David Vaudreuil, Pablo Mastroeni (John Maessner 71), Dan Stebbins
	11	1998-05-23	A	Metrostars	2-4	L	5-6	Herrera (pk) 37; Tamashiro (Kmosko, Taylor) 80	Jeff Cassar, Leo Cullen, Wade Webber, Cle Kooiman, David Vaudreuil, Marcelo Herrera, Henry Gutierrez (Brian Taylor 75), Matt Kmosko, Diego Serna (Nelson Vargas 59), Pablo Mastroeni (Jerry Tamashiro 46), Dan Stebbins
	12	1998-05-28	A	Colorado	0-3	L	5-7		Jeff Cassar, Leo Cullen, Matt Kmosko, Wade Webber, David Vaudreuil, Brian Taylor, Kris Kelderman (Jerry Tamashiro 70), Henry Gutierrez, Nelson Vargas (Diego Serna 64), Pablo Mastroeni (Alen Kozic 67), Dan Stebbins
	13	1998-05-31	A	Dallas	0-2	L	5-8		Jeff Cassar, Leo Cullen, Wade Webber, Cle Kooiman, Matt Kmosko (sent off 25), David Vaudreuil, Kris Kelderman (Dan Stebbins 69), Ramiro Corrales, Diego Serna, Jerry Tamashiro (Henry Gutierrez 69), Alen Kozic (Brian Taylor 34)
	14	1998-06-07	H	Metrostars	1-2	L	5-9	Serna (Stebbins, Kelderman) 63	Scott Budnick, Cle Kooiman, Leo Cullen, Wade Webber, Brian Taylor (John Maessner 60), Marcelo Herrera (Pablo Mastroeni 79), Kris Kelderman (Henry Gutierrez 71), David Vaudreuil, Dan Stebbins, Diego Serna, Roger Thomas
	15	1998-06-13	A	Metrostars	1-3	L	5-10	Vargas (Gutierrez, H.) 89	Scott Budnick, Leo Cullen, Wade Webber, Cle Kooiman, Joey Martinez (John Maessner 59), Matt Kmosko, Kris Kelderman (Nelson Vargas 63), Henry Gutierrez, Roger Thomas, Diego Serna, Dan Stebbins (Paulinho McLaren 54)
	16	1998-06-27	H	Tampa Bay	1-1	W	6-10	Herrera (Serna, Cullen) 68 	Jeff Cassar, Leo Cullen, Wade Webber, Marcelo Herrera, Cle Kooiman, Joey Martinez (John Maessner 73), Carlos Parra, Henry Gutierrez (Matt Kmosko 66), Diego Serna, Roger Thomas (Dan Stebbins 60), Paulinho McLaren
	17	1998-07-02	A	DC United	1-3	L	6-11	Vaudreuil (Herrera) 73	Jeff Cassar, Wade Webber, Marcelo Herrera, Matt Knowles (Matt Kmosko 67), David Vaudreuil, Kris Kelderman, Carlos Parra (Dan Stebbins 70), Leo Cullen, Diego Serna (sent off 43), Pablo Mastroeni (John Maessner 46), Paulinho McLaren
	OC-3rd	1998-07-08	H	Orlando	3-0	W		Serna (Vaudreuil, McLaren) 17; Stebbins (Vaudreuil) 36; Stebbins (McLaren) 39	Jeff Cassar, Wade Webber, Joey Martinez, Cle Kooiman (Kris Kelderman 63), David Vaudreuil, Carlos Parra, Diego Serna (John Maessner 69), Marcelo Herrera, Leo Cullen, Dan Stebbins, Paulinho McLaren
	18	1998-07-15	H	San Jose	2-2	W	7-11	Stebbins (Vaudreuil, Herrera) 32; Cullen (Stebbins, Parra) 47	Jeff Cassar, Wade Webber, Joey Martinez, Matt Knowles (Kris Kelderman 76), Leo Cullen, Carlos Parra, Marcelo Herrera, David Vaudreuil, Carlos Valderrama, Paulinho McLaren (Pablo Mastroeni 84), Dan Stebbins (Nelson Vargas 66)
