									
									
	1	1996-04-13	A	Tampa Bay	2-3	L	0-1	Ukrop (Lalas, Welton) 20; Ukrop (Woodring) 71	Jim St. Andre (sent off 89), Zak Ibsen, Alexi Lalas, Richard Weiszmann (Aidan Heaney 89), Peter Woodring, Geoff Aunger, Mike Burns, John DeBrito, Alberto Naveda (Giuseppe Galderisi 59), Robert Ukrop, Welton
	2	1996-04-20	A	Metrostars	1-0	W	1-1	own goal (Caricola) 87	Aidan Heaney, Zak Ibsen, Alexi Lalas, Richard Weiszmann, Mike Burns, Geoff Aunger (Paul Keegan 78), Peter Woodring, John DeBrito, Welton, Robert Ukrop, Giuseppe Galderisi (Darren Sawatzky 78)
	3	1996-04-27	H	DC United	1-1	W	2-1	Aunger (pk) 78	Aidan Heaney, Mike Burns, Richard Weiszmann, Alexi Lalas, Zak Ibsen, Peter Woodring, John DeBrito (Darren Sawatzky 65), Geoff Aunger, Giuseppe Galderisi (Paul Keegan 74), Welton, Robert Ukrop
	4	1996-05-04	H	San Jose	1-2	L	2-2	Aunger (pk) 86	Aidan Heaney, Alexi Lalas, Zak Ibsen (Darren Sawatzky 72), Ted Chronopoulos, Mike Burns, Peter Woodring, Geoff Aunger, Alberto Naveda, Giuseppe Galderisi (Paul Keegan 65), Welton, Robert Ukrop
	5	1996-05-11	A	Columbus	2-3	L	2-3	Welton (Keegan) 18; Naveda (Keegan, Ukrop) 34	Aidan Heaney, Ted Chronopoulos, Richard Weiszmann, Alexi Lalas, Mike Burns, Peter Woodring (John DeBrito 71), Geoff Aunger, Alberto Naveda (Darren Sawatzky 81), Robert Ukrop, Paul Keegan (Bojan Vuckovic 76), Welton
	6	1996-05-19	H	Metrostars	2-0	W	3-3	Naveda 9; Keegan 18	Aidan Heaney, Ted Chronopoulos, Alexi Lalas, Mike Burns, Richard Weiszmann, Alberto Naveda, Geoff Aunger, Peter Woodring, Welton (Darren Sawatzky 79), Paul Keegan, Robert Ukrop
	7	1996-05-25	H	Colorado	2-2	W	4-3	Naveda (unassisted) 47; Aunger (pk) 68	Aidan Heaney (sent off 3), Ted Chronopoulos, Richard Weiszmann (Zak Ibsen 86), Tom Lips, Kevin Wylie, Peter Woodring, Geoff Aunger, Alberto Naveda, Paul Keegan, Robert Ukrop (Jim St. Andre 3), Welton (Victor Mella 75)
	8	1996-06-01	A	Kansas City	1-2	L	4-4	Keegan (Welton, Naveda) 19	Jim St. Andre, Ted Chronopoulos, Alexi Lalas, Richard Weiszmann, Peter Woodring (John DeBrito 46), Geoff Aunger, Mike Burns, Paul Keegan, Alberto Naveda, Robert Ukrop, Welton
	9	1996-06-06	H	Los Angeles	2-2	L	4-5	Naveda (Welton) 72; Burns (unassisted) 78	Aidan Heaney, Ted Chronopoulos (Tom Lips 85), Iain Fraser, Alexi Lalas, Richard Weiszmann, Mike Burns, John DeBrito (Victor Mella 21), Paul Keegan, Alberto Naveda (Robert Ukrop 89), Darren Sawatzky, Welton
	10	1996-06-15	H	Kansas City	1-1	W	5-5	Keegan (Sawatzky) 50	Aidan Heaney, Geoff Aunger, Ted Chronopoulos, Iain Fraser, Richard Weiszmann, Paul Keegan, Victor Mella (Zak Ibsen 73), Alberto Naveda, Darren Sawatzky, Welton, Kevin Wylie
	11	1996-06-23	H	Dallas	1-4	L	5-6	Keegan (Aunger) 27	Aidan Heaney, Geoff Aunger, Ted Chronopoulos, Iain Fraser, Francis Okaroh (Richard Weiszmann 78), Peter Woodring (Darren Sawatzky 70), Mike Burns, Paul Keegan, Alberto Naveda, Welton, Kevin Wylie
	12	1996-06-27	H	Columbus	1-1	L	5-7	Welton (Sawatzky, Aunger) 77	Jim St. Andre, Geoff Aunger, Ted Chronopoulos (Darren Sawatzky 74), Iain Fraser, Alexi Lalas, Francis Okaroh, Mike Burns, Paul Keegan, Alberto Naveda (John Kerr 46), Welton, Kevin Wylie
	13	1996-06-30	A	DC United	1-3	L	5-8	Naveda (St. Andre) 38	Jim St. Andre, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Mike Burns (Peter Woodring 46), Paul Keegan, John Kerr, Alberto Naveda (Darren Sawatzky 58), Welton, Kevin Wylie
	14	1996-07-04	A	Los Angeles	1-0	W	6-8	Kerr (Sawatzky, Welton) 24	Jim St. Andre, Geoff Aunger, Iain Fraser, Alexi Lalas (sent off 79), Francis Okaroh, Peter Woodring (Tom Lips 89), Paul Keegan, John Kerr, Darren Sawatzky, Welton (Ted Chronopoulos 80), Kevin Wylie
	15	1996-07-06	A	San Jose	1-1	W	7-8	Kerr (Woodring) 66	Jim St. Andre, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Peter Woodring, Paul Keegan (Alberto Naveda 82), John Kerr, Darren Sawatzky, Welton, Kevin Wylie
	16	1996-07-11	A	Columbus	1-1	W	8-8	Chronopoulos (Woodring) 78	Jim St. Andre, Geoff Aunger, Iain Fraser, Tom Lips, Francis Okaroh, Peter Woodring, Paul Keegan, John Kerr (Alberto Naveda 79), Darren Sawatzky, Welton (Patrick Tardieu 68), Kevin Wylie (Ted Chronopoulos 46)
	17	1996-07-20	H	DC United	2-0	W	9-8	Sawatzky (Kerr) 54; Sawatzky (Keegan) 77	Jim St. Andre, Geoff Aunger, Iain Fraser, Tom Lips, Francis Okaroh, Peter Woodring (Alberto Naveda 73), Paul Keegan, John Kerr (Patrick Tardieu 80), Darren Sawatzky, Welton (John DeBrito 35), Kevin Wylie
	18	1996-07-24	A	Colorado	0-2	L	9-9		Jim St. Andre, Geoff Aunger, Iain Fraser, Tom Lips, Francis Okaroh, Peter Woodring (Welton 64), John DeBrito, Paul Keegan (Patrick Tardieu 71), John Kerr, Darren Sawatzky, Kevin Wylie
	19	1996-07-27	A	Kansas City	2-4	L	9-10	Woodring (Welton) 15; Sawatzky (unassisted) 41	Jim St. Andre, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Peter Woodring, Paul Keegan, Joe-Max Moore, Darren Sawatzky, Welton, Kevin Wylie
	20	1996-07-31	H	San Jose	2-0	W	10-10	Moore (Naveda) 48; Moore (Naveda, DeBrito) 67	Jim St. Andre, Iain Fraser, Alexi Lalas, Francis Okaroh, Peter Woodring (Imad Baba 68), John DeBrito, Paul Keegan (Patrick Tardieu 87), Joe-Max Moore, Alberto Naveda, Kevin Wylie, Darren Sawatzky
	21	1996-08-03	H	Metrostars	1-1	W	11-10	Moore (DeBrito, Naveda) 42	Jim St. Andre, Iain Fraser, Alexi Lalas, Francis Okaroh, Peter Woodring (Geoff Aunger 75), John DeBrito, Paul Keegan (Patrick Tardieu 75), Joe-Max Moore, Alberto Naveda, Darren Sawatzky, Kevin Wylie
	22	1996-08-08	A	Los Angeles	0-1	L	11-11		Jim St. Andre, Iain Fraser, Alexi Lalas, Francis Okaroh, Peter Woodring (Geoff Aunger 74), John DeBrito (Welton 74), Paul Keegan, Joe-Max Moore, Alberto Naveda, Darren Sawatzky, Kevin Wylie
	23	1996-08-11	A	San Jose	1-6	L	11-12	Moore (Naveda, Wylie) 8	Jim St. Andre, Iain Fraser, Alexi Lalas, Francis Okaroh (sent off 79), Peter Woodring (Imad Baba 65), Kevin Wylie, John DeBrito, Paul Keegan, Joe-Max Moore (Welton 68), Alberto Naveda (Geoff Aunger 52), Darren Sawatzky
	24	1996-08-14	A	Metrostars	0-4	L	11-13		Aidan Heaney, Geoff Aunger, Ted Chronopoulos (Welton 64), Iain Fraser, Tom Lips, John DeBrito, Paul Keegan (Imad Baba 74), Joe-Max Moore, Alberto Naveda, Darren Sawatzky, Kevin Wylie
	25	1996-08-16	H	Colorado	2-0	W	12-13	Moore (Naveda) 28; Moore (Naveda) 89	Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Imad Baba (Ted Chronopoulos 88), John DeBrito, Joe-Max Moore, Alberto Naveda, Darren Sawatzky (Welton 70), Kevin Wylie
	26	1996-08-21	H	Tampa Bay	4-2	W	13-13	Naveda (unassisted) 23; Lalas (DeBrito, Wylie) 44; Moore (pk) 79; Welton (Burns) 88	Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Imad Baba, John DeBrito (Mike Burns 72), Joe-Max Moore, Alberto Naveda, Darren Sawatzky (Welton 61), Kevin Wylie
	27	1996-08-31	A	Tampa Bay	1-3	L	13-14	Baba (unassisted) 73	Aidan Heaney, Ted Chronopoulos, Alexi Lalas (Paul Keegan 69), Francis Okaroh, Kevin Wylie, Peter Woodring (Tom Lips 73), Alberto Naveda, John DeBrito, Imad Baba, Joe-Max Moore, Welton
	28	1996-09-04	H	Dallas	2-1	W	14-14	Watson (Sawatzky, Moore) 35; Moore (pk) 78	Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Mark Watson, Imad Baba (Paul Keegan 85), John DeBrito, Joe-Max Moore, Darren Sawatzky (Welton 65), Kevin Wylie (Mike Burns 74)
	29	1996-09-07	A	Dallas	2-0	W	15-14	Sawatzky (DeBrito, Baba) 19; Baba (Aunger, Fraser) 43	Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Mark Watson, Imad Baba (Paul Keegan 80), John DeBrito, Joe-Max Moore, Darren Sawatzky, Kevin Wylie (Mike Burns 46)
	30	1996-09-12	H	Tampa Bay	1-2	L	15-15	Moore (Baba, Sawatzky) 61	Aidan Heaney, Geoff Aunger, Alexi Lalas, Francis Okaroh, Iain Fraser, Imad Baba, Mike Burns, John DeBrito (Welton 53), Joe-Max Moore, Darren Sawatzky, Kevin Wylie (Alberto Naveda 55)
	31	1996-09-17	A	DC United	2-3	L	15-16	Moore (pk) 39; Moore (unassisted) 78	Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Francis Okaroh, Mark Watson, Imad Baba, Mike Burns, John DeBrito (Welton 69), Joe-Max Moore, Darren Sawatzky (Alberto Naveda 71)
	32	1996-09-21	H	Columbus	0-1	L	15-17		Aidan Heaney, Geoff Aunger, Iain Fraser, Alexi Lalas, Mark Watson (sent off 33), Imad Baba (Paul Keegan 60), Mike Burns, John DeBrito (Darren Sawatzky 74), Joe-Max Moore, Alberto Naveda, Welton
	1	1997-03-29	A	Dallas	1-0	W	1-0	own goal (Dade) 38 	Walter Zenga, Francis Okaroh, Leonardo Squadrone, Sam George, Alexi Lalas, Mike Burns, Ted Chronopoulos, Darren Sawatzky (Steve Klein 89), Alberto Naveda, Chiquinho Conde, John Kerr 
	2	1997-04-06	A	Tampa Bay	0-4	L	1-1		Walter Zenga, Francis Okaroh, Leonardo Squadrone, Alexi Lalas, Sam George (Kevin Wylie 77), Ted Chronopoulos (Steve Klein 63), Mike Burns, Darren Sawatzky, Alberto Naveda, Chiquinho Conde, John Kerr (Alejandro Farias 58) 
	3	1997-04-12	A	Metrostars	1-3	L	1-2	George (Kerr, Naveda) 16 	Walter Zenga, Francis Okaroh, Alexi Lalas, Leonardo Squadrone, Sam George (Darren Sawatzky 78), Mike Burns, Alejandro Farias, Alberto Naveda, Ted Chronopoulos (Patrick Olalere 69), John Kerr, Chiquinho Conde 
	4	1997-04-20	H	Tampa Bay	2-1	W	2-2	Naveda (Kerr, Farias) 27; Sawatzky (Conde) 77	Walter Zenga, Francis Okaroh, Leonardo Squadrone, Sam George (Darren Sawatzky 67), Mike Burns, Ted Chronopoulos, Alejandro Farias, Imad Baba, Alberto Naveda, John Kerr, Chiquinho Conde (Alexi Lalas 87) 
	5	1997-04-26	H	Colorado	1-1	W	3-2	Moore (pk) 14 	Walter Zenga, Alexi Lalas, Francis Okaroh, Leonardo Squadrone, Mike Burns, Imad Baba, Alejandro Farias, Ted Chronopoulos (Darren Sawatzky 88), Alberto Naveda, Joe-Max Moore (John Kerr 22), Chiquinho Conde (Sam George 82) 
	6	1997-05-03	H	Kansas City	2-1	W	4-2	Baba (Conde, Burns) 1; Conde (Baba) 70	Walter Zenga, Leonardo Squadrone, Alexi Lalas (Sam George 84), Francis Okaroh, Alejandro Farias, Mike Burns, Ted Chronopoulos, Imad Baba, Alberto Naveda, Joe-Max Moore (Darren Sawatzky 71), Chiquinho Conde 
	7	1997-05-09	H	Columbus	0-2	L	4-3		Walter Zenga, Alexi Lalas, Francis Okaroh, Leonardo Squadrone (Sam George 30), Mike Burns, Ted Chronopoulos, Imad Baba (John Kerr 77), Alejandro Farias (Darren Sawatzky 64), Alberto Naveda, Joe-Max Moore, Chiquinho Conde 
