									
									
	1	1996-04-13	A	Los Angeles	1-2	L	0-1	Savarese (Rodriguez, Joseph) 77	Tony Meola, Nicola Caricola, Rhett Harty, Andrew Restrepo (Matt Knowles 74), Ken Hesse, Danny Barber, Mickey Kydes (Miles Joseph 58), Damian Silvera, Peter Vermes, Giovanni Savarese, A.J. Wood (Edmundo Rodriguez 65)
	2	1996-04-20	H	New England	0-1	L	0-2		Tony Meola, Matt Knowles, Nicola Caricola, Andrew Restrepo, Jeff Zaun (Cristian da Silva 46), Rhett Harty, Damian Silvera, Peter Vermes, Miles Joseph, Edmundo Rodriguez (A.J. Wood 71), Giovanni Savarese (Mickey Kydes 78)
	3	1996-04-27	H	Columbus	0-2	L	0-3		Zach Thornton, Nicola Caricola, Matt Knowles, Jeff Zaun, Rhett Harty, Mickey Kydes (Giovanni Savarese 73), Tab Ramos, Peter Vermes, Miles Joseph (Damian Silvera 84), Edmundo Rodriguez, Ruben Dario Hernandez
	4	1996-05-04	H	Tampa Bay	3-3	W	1-3	own goal (Kooiman) 72; Savarese (Hernandez) 73; Savarese (Hernandez, Joseph) 75	Zach Thornton, Nicola Caricola, Rhett Harty (Giovanni Savarese 63), Matt Knowles, Jeff Zaun, Miles Joseph, Mickey Kydes, Roberto Donadoni, Tab Ramos, Ruben Dario Hernandez, Peter Vermes
	5	1996-05-12	A	DC United	1-1	W	2-3	Savarese (unassisted) 64	Tony Meola, Nicola Caricola, Rhett Harty, Matt Knowles (Cristian da Silva 71), Andrew Restrepo, Miles Joseph (Edmundo Rodriguez 52), Mickey Kydes (Giovanni Savarese 46), Roberto Donadoni, Tab Ramos (sent off 77), Peter Vermes, Ruben Dario Hernandez
	6	1996-05-16	H	Colorado	3-0	W	3-3	Savarese 11; Savarese 30; Savarese 75	Tony Meola, Andrew Restrepo (Jeff Zaun 57), Nicola Caricola, Matt Knowles (Cristian da Silva 77), Rhett Harty, Damian Silvera, Edmundo Rodriguez, Peter Vermes, Miles Joseph, Giovanni Savarese, Ruben Dario Hernandez (A.J. Wood 70)
	7	1996-05-19	A	New England	0-2	L	3-4		Tony Meola, Jeff Zaun (Cristian da Silva 46), Rhett Harty, Nicola Caricola, Matt Knowles (Travis Rinker 86), Tab Ramos, Peter Vermes, Damian Silvera, Edmundo Rodriguez, Giovanni Savarese, Ruben Dario Hernandez
* ; sub:(Mickey Kydes)
	8	1996-05-22	A	Kansas City	1-2	L	3-5	Savarese (Joseph) 26	Tony Meola, Cristian da Silva (Jeff Zaun 59), Matt Knowles, Nicola Caricola, Rhett Harty, Miles Joseph, Tab Ramos, Damian Silvera (Mickey Kydes 42), Peter Vermes, Giovanni Savarese, Ruben Dario Hernandez (A.J. Wood 81)
	9	1996-05-30	H	DC United	1-2	L	3-6	Wood (unassisted) 27	Tony Meola, Rhett Harty, Matt Knowles (Damian Silvera 46), Nicola Caricola, Ted Gillen, Mickey Kydes (Cristian da Silva 83), Tab Ramos, Ruben Dario Hernandez, Miles Joseph, Peter Vermes, A.J. Wood (Edmundo Rodriguez 63)
	10	1996-06-02	A	Dallas	1-0	W	4-6	Wood (Vermes, Baba) 62	Tony Meola, Nicola Caricola, Ted Gillen (Edmundo Rodriguez 58), Rhett Harty, Mickey Kydes (Nidal Baba 37), Tab Ramos, Damian Silvera (Cristian da Silva 46), Miles Joseph, Peter Vermes, Ruben Dario Hernandez, A.J. Wood
	11	1996-06-09	H	Los Angeles	0-4	L	4-7		Tony Meola, Nicola Caricola (sent off 65), Ted Gillen, Rhett Harty, Peter Vermes, Ruben Dario Hernandez (Cristian da Silva 86), Mickey Kydes (Nidal Baba 43), Edmundo Rodriguez (Matt Knowles 27), Miles Joseph, Giovanni Savarese, A.J. Wood
	12	1996-06-16	H	San Jose	0-1	L	4-8		Tony Meola, Cristian da Silva (Mickey Kydes 68), Ted Gillen, Rhett Harty, Matt Knowles (Edmundo Rodriguez 74), Peter Vermes, Jeff Zaun (Andrew Restrepo 58), Nidal Baba, Miles Joseph, Giovanni Savarese, A.J. Wood
	13	1996-06-19	H	Dallas	0-0	W	5-8		Tony Meola, Nicola Caricola, Cristian da Silva, Ted Gillen, Rhett Harty (Ruben Dario Hernandez 31), Matt Knowles, Manuel Lagos, Tab Ramos (Edmundo Rodriguez 78), Rob Johnson, Miles Joseph, Giovanni Savarese
