									
	1	2010-03-25	A	Seattle	0-2	L	0-1-0		Chris Seitz, Jordan Harvey, Danny Califf, Toni Stahl (sent off 41), David Myrie (Jack McInerney 78), Michael Orozco Fiscal, Danny Mwanga (Stefani Miglioranzi 46), Andrew Jacobson, Roger Torres (Amobi Okugo 71), Sebastien Le Toux, Alejandro Moreno
	2	2010-04-10	H	DC United	3-2	W	1-1-0	Le Toux 1 (Torres 1, Moreno 1) 4; Le Toux 2 (Moreno 2) 40; Le Toux 3 (free kick) 80	Chris Seitz, Jordan Harvey, Danny Califf, Cristian Arrieta, Michael Orozco Fiscal, Fred, Stefani Miglioranzi, Andrew Jacobson (Jack McInerney 79), Roger Torres (Shea Salinas 68), Sebastien Le Toux, Alejandro Moreno (Nick Zimmerman 89)
	3	2010-04-15	A	Toronto	1-2	L	1-2-0	Harvey 1 (Torres 2, Le Toux 1) 46+	Chris Seitz, Jordan Harvey, Danny Califf (sent off 34), Cristian Arrieta, Michael Orozco Fiscal, Fred, Stefani Miglioranzi, Andrew Jacobson (Amobi Okugo 72), Roger Torres (Shavar Thomas 55), Sebastien Le Toux, Alejandro Moreno
	4	2010-04-24	A	New York	1-2	L	1-3-0	Le Toux 4 (Moreno 3) 59	Chris Seitz, Jordan Harvey (Jack McInerney 78), Michael Orozco Fiscal, Cristian Arrieta, Shea Salinas, Fred, Stefani Miglioranzi, Andrew Jacobson (Danny Mwanga 60), Roger Torres (Nick Zimmerman 46), Sebastien Le Toux, Alejandro Moreno
	OC-Q	2010-04-27	A	New York	1-2	L		Le Toux (Arrieta) 68	Chris Seitz, Michael Orozco Fiscal, Danny Califf, Toni Stahl (Cristian Arrieta 46), Shea Salinas, Andrew Jacobson, Amobi Okugo, Nick Zimmerman (Stefani Miglioranzi 46), Roger Torres (Alejandro Moreno 46), Jack McInerney (Sebastien Le Toux 64), Danny Mwanga
	5	2010-05-01	A	Los Angeles	1-3	L	1-4-0	McInerney 1 (Fred 1) 84	Chris Seitz, Cristian Arrieta, Danny Califf, Michael Orozco Fiscal, Jordan Harvey (Amobi Okugo 74), Andrew Jacobson (Kyle Nakazawa 61), Shea Salinas, Stefani Miglioranzi (sent off 47+), Roger Torres (Jack McInerney 56), Fred, Alejandro Moreno.
	6	2010-05-08	A	Real Salt Lake	0-3	L	1-5-0		Chris Seitz, Danny Califf, Cristian Arrieta, Michael Orozco Fiscal, Jordan Harvey, Kyle Nakazawa, Fred, Andrew Jacobson (Shea Salinas 53), Roger Torres (Nick Zimmerman 71), Alejandro Moreno, Jack McInerney (Danny Mwanga 59).
	7	2010-05-15	H	Dallas	1-1	D	1-5-1	Mwanga 1 (unassisted) 93+	Chris Seitz, Danny Califf, Cristian Arrieta (Danny Mwanga 81), Michael Orozco Fiscal, Jordan Harvey, Fred, Stefani Miglioranzi, Kyle Nakazawa (Shea Salinas 66), Roger Torres (Jack McInerney 75), Sebastien Le Toux, Alejandro Moreno.
	8	2010-05-29	A	Houston	3-2	W	2-5-1	Salinas 1 (Moreno 4) 39; Le Toux 5 (Mwanga 1, Torres 3) 69; Mwanga 2 (Le Toux 2, Moreno 5) 93+	Chris Seitz, Cristian Arrieta, Danny Califf, Michael Orozco Fiscal, Jordan Harvey, Shea Salinas (Roger Torres 62), Fred (Danny Mwanga 54), Stefani Miglioranzi, Kyle Nakazawa, Sebastien Le Toux, Alejandro Moreno
	9	2010-06-05	A	Chicago	1-2	L	2-6-1	Mwanga 3 (Le Toux 3) 92+	Chris Seitz, Cristian Arrieta (Roger Torres 46), Danny Califf, Michael Orozco Fiscal, Jordan Harvey, Shea Salinas, Fred (Nick Zimmerman 82), Stefani Miglioranzi, Kyle Nakazawa (Danny Mwanga 46), Sebastien Le Toux, Alejandro Moreno.
	10	2010-06-10	A	Kansas City	0-2	L	2-7-1		Chris Seitz, Shea Salinas (Andrew Jacobson 65), Danny Califf, Michael Orozco Fiscal (sent off 42), Jordan Harvey, Sebastien Le Toux, Stefani Miglioranzi, Amobi Okugo (Roger Torres 60), Fred, Alejandro Moreno, Danny Mwanga (Cristian Arrieta 43).
