									
									
	1	2005-04-02	A	Metrostars	0-0	D	0-0-1		D.J. Countess, Eddie Pope, Nelson Akwari, Matt Behncke, Rusty Pierce, Dipsy Selolwane, Andy Williams, Marlon Rojas (Luke Kreamalmeyer 72), Brian Kamler, Clint Mathis, Jason Kreis.
	2	2005-04-09	A	Los Angeles	1-3	L	0-1-1	Kreis 1 (unassisted) 29	D.J. Countess, Rusty Pierce, Nelson Akwari, Eddie Pope, Matt Behncke (Luke Kreamalmeyer 46), Marlon Rojas, Brian Kamler, Andy Williams (Leighton O'Brien 10), Dipsy Selolwane (Chris Brown 76), Jason Kreis, Clint Mathis.
	3	2005-04-16	H	Colorado	1-0	W	1-1-1	Dunseth 1 (Mathis 1) 81	D.J. Countess, Rusty Pierce, Brian Dunseth, Eddie Pope, Marlon Rojas, Chris Brown (Evan Whitfield 70), Brian Kamler, Clint Mathis, Luke Kreamalmeyer (Leslie Fitzpatrick 76), Dipsy Selolwane (Jordan Cila 83), Jason Kreis.
	4	2005-04-23	A	Dallas	0-3	L	1-2-1		D.J. Countess, Rusty Pierce, Brian Dunseth, Eddie Pope (sent off 73), Marlon Rojas, Chris Brown (Leighton O'Brien 71), Leslie Fitzpatrick, Clint Mathis, Luke Kreamalmeyer (Evan Whitfield 46), Jason Kreis, Dipsy Selolwane (Nelson Akwari 82).
	5	2005-04-30	H	San Jose	2-2	D	1-2-2	Kreis 2 (penalty kick) 21; Kreis 3 (Mathis 2) 34	D.J. Countess, Rusty Pierce, Matt Behncke, Brian Dunseth, Nelson Akwari, Chris Brown (Evan Whitfield 80), Brian Kamler, Clint Mathis, Andy Williams (Leighton O'Brien 66), Leslie Fitzpatrick, Jason Kreis.
	6	2005-05-07	A	Chivas USA	0-1	L	1-3-2		D.J. Countess, Marlon Rojas, Brian Dunseth (Dipsy Selolwane 72), Eddie Pope, Nelson Akwari, Chris Brown, Brian Kamler, Leslie Fitzpatrick, Andy Williams (Leighton O'Brien 46), Jason Kreis, Clint Mathis (Evan Whitfield 31).
	7	2005-05-14	H	Los Angeles	2-1	W	2-3-2	Pope 1 (unassisted) 49; Kreis 4 (Mathis 3) 65	Jay Nolly, Rusty Pierce, Brian Dunseth, Eddie Pope, Nelson Akwari, Chris Brown (Evan Whitfield 89), Brian Kamler (Seth Trembly 84), Clint Mathis, Andy Williams, Leslie Fitzpatrick (Marlon Rojas 77), Jason Kreis.
	8	2005-05-18	H	Chivas USA	2-0	W	3-3-2	Williams 1 (Brown 1) 37; Trembly 1 (Cila 1) 39	D.J. Countess, Rusty Pierce, Brian Dunseth, Eddie Pope, Nelson Akwari, Chris Brown, Clint Mathis, Brian Kamler, Seth Trembly (Jamie Watson 89), Andy Williams (Leighton O'Brien 67), Jordan Cila (Dipsy Selolwane 84).
	9	2005-05-21	A	Columbus	0-2	L	3-4-2		D.J. Countess, Rusty Pierce, Brian Dunseth, Eddie Pope, Nelson Akwari, Chris Brown (Seth Trembly 89), Brian Kamler, Clint Mathis, Andy Williams, Leslie Fitzpatrick (Dante Washington 63), Jason Kreis.
	10	2005-05-28	H	Chicago	0-3	L	3-5-2		D.J. Countess, Rusty Pierce, Matt Behncke, Brian Dunseth, Marlon Rojas (Seth Trembly 62), Chris Brown (Dante Washington 77), Brian Kamler, Clint Mathis, Andy Williams, Leslie Fitzpatrick (Dipsy Selolwane 63), Jason Kreis.
	11	2005-06-04	H	Dallas	0-2	L	3-6-2		D.J. Countess, Brian Dunseth, Rusty Pierce (Matt Behncke 61), Nelson Akwari, Chris Brown, Nikolas Besagno (Jordan Cila 68), Brian Kamler, Andy Williams, Seth Trembly, Clint Mathis, Jason Kreis.
	12	2005-06-11	A	Los Angeles	0-1	L	3-7-2		D.J. Countess, Nelson Akwari, Matt Behncke, Brian Dunseth, Brian Kamler, Andy Williams, Kenny Cutler, Jason Kreis, Chris Brown (Seth Trembly 72), Clint Mathis (Jamie Watson 61), Dante Washington.
	13	2005-06-18	A	San Jose	0-3	L	3-8-2		D.J. Countess, Matt Behncke, Eddie Pope, Brian Kamler, Andy Williams (Seth Trembly 46), Kenny Cutler, Jason Kreis, Leighton O'Brien (Leslie Fitzpatrick 46), Chris Brown, Clint Mathis, Dante Washington (Jamie Watson 62).
	14	2005-06-22	H	Los Angeles	1-1	D	3-8-3	Watson 1 (Williams 1, Kreis 1) 56	D.J. Countess, Nelson Akwari, Cameron Knowles, Eddie Pope, Brian Kamler, Seth Trembly (Leslie Fitzpatrick 79), Kenny Cutler, Andy Williams, Chris Brown (Jordan Cila 73), Jamie Watson, Jason Kreis.
	15	2005-06-26	A	Chicago	1-3	L	3-9-3	Kreis 5 (unassisted) 62	D.J. Countess, Nelson Akwari (Seth Trembly 76), Cameron Knowles, Eddie Pope, Brian Kamler, Andy Williams, Kenny Cutler, Jason Kreis, Chris Brown (Dante Washington 80), Jamie Watson, Clint Mathis.
	16	2005-07-04	H	Metrostars	2-2	D	3-9-4	Trembly 2 (Fitzpatrick 1) 78; Kreis 6 (penalty kick) 90	D.J. Countess, Nelson Akwari, Brian Dunseth (sent off 45), Rusty Pierce (Cameron Knowles 14), Brian Kamler (Seth Trembly 76), Andy Williams, Kenny Cutler, Clint Mathis, Chris Brown (Leslie Fitzpatrick 46), Jason Kreis, Jamie Watson.
	17	2005-07-09	A	Chivas USA	1-5	L	3-10-4	Mathis 1 (unassisted) 23	D.J. Countess, Brian Kamler, Matt Behncke (Leslie Fitzpatrick 63), Cameron Knowles, Nelson Akwari, Seth Trembly, Kenny Cutler, Clint Mathis, Chris Brown (Dipsy Selolwane 71), Jamie Watson (Dante Washington 77), Jason Kreis.
	OC-3rd	2005-07-13	A	Minnesota	4-6	L		Kreis (penalty kick) 9;	Jay Nolly, Chris Brown (Dante Washington 74), Brian Dunseth, Brian Kamler (Jordan Cila 103), Nelson Akwari, Kenny Cutler, Leslie Fitzpatrick (Luke Kreamalmeyer 46), Seth Trembly, Clint Mathis, Jamie Watson (Dipsy Selolwane 84), Jason Kreis
	18	2005-07-16	A	Kansas City	2-3	L	3-11-4	Brown 1 (Kreis 2) 10; Cila 1 (Kreamalmeyer 1) 44	D.J. Countess, Michael Lookingland, Brian Dunseth, Brian Kamler (Luke Kreamalmeyer 34), Nelson Akwari, Seth Trembly, Kenny Cutler, Jason Kreis, Chris Brown, Clint Mathis (Jamie Watson 56), Jordan Cila (Paul Broome 73).
