									
	1	2009-03-19	H	New York	3-0	W	1-0-0	Montero 1 (Le Toux 1, Alonso 1) 12; Evans 1 (Montero 1) 25; Montero 2 (unassisted) 75	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott, Sanna Nyassi (Steve Zakuani 68), Osvaldo Alonso, Brad Evans, Sebastien Le Toux, Fredy Montero (Roger Levesque 91+), Nate Jaqua.
	2	2009-03-28	H	Real Salt Lake	2-0	W	2-0-0	Jaqua 1 (Zakuani 1, Alonso 2) 17; Montero 3 (Alonso 3) 77	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott, Sebastien Le Toux (Roger Levesque 91+), Osvaldo Alonso, Brad Evans, Steve Zakuani (Freddie Ljungberg 61), Fredy Montero, Nate Jaqua (Nathan Sturgis 71).
	3	2009-04-04	A	Toronto	2-0	W	3-0-0	Ljungberg 1 (Jaqua 1) 15; Zakuani 1 (unassisted) 45	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott, Sebastien Le Toux, Osvaldo Alonso, Brad Evans, Steve Zakuani (Nathan Sturgis 79), Nate Jaqua, Freddie Ljungberg (Sanna Nyassi 78),
	4	2009-04-11	H	Kansas City	0-1	L	3-1-0		Kasey Keller (sent off 29), James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott (Sanna Nyassi 86), Sebastien Le Toux (Ben Dragavon 31), Osvaldo Alonso, Freddie Ljungberg (Steve Zakuani 81), Brad Evans, Fredy Montero, Nate Jaqua.
	5	2009-04-18	A	Chivas USA	0-2	L	3-2-0		Chris Eylander, James Riley (Sanna Nyassi 71), Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott, Sebastien Le Toux (Steve Zakuani 46), Osvaldo Alonso, Freddie Ljungberg, Brad Evans, Nate Jaqua, Fredy Montero,
	6	2009-04-25	H	San Jose	2-0	W	4-2-0	Zakuani 2 (Marshall 1) 42; Evans 2 (Jaqua 2, Zakuani 2) 50	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Nathan Sturgis, Brad Evans, Osvaldo Alonso, Freddie Ljungberg (Roger Levesque 87), Steve Zakuani (Sebastien Le Toux 67), Nate Jaqua, Fredy Montero (Sanna Nyassi 80).
	OC-Q	2009-04-28	H	Real Salt Lake	4-1	W		Le Toux (penalty kick) 24; Nyassi (Le Toux, Levesque) 26; King (Le Toux, Levesque) 53; Le Toux (Levesque) 55	Chris Eylander, Zach Scott, Tyson Wahl, Taylor Graham, James Riley, Steve Zakuani (Jarrod Smith 65), Stephen King, Patrick Ianni, Sanna Nyassi (Evan Brown 72), Sebastien Le Toux, Roger Levesque
	7	2009-05-02	A	Chicago	1-1	D	4-2-1	Marshall 1 (Ljungberg 1) 74	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Nathan Sturgis, Brad Evans, Osvaldo Alonso, Freddie Ljungberg (Stephen King 81), Steve Zakuani (Sebastien Le Toux 56), Fredy Montero (sent off 48), Nate Jaqua.
	8	2009-05-10	H	Los Angeles	1-1	D	4-2-2	Le Toux 1 (Jaqua 3, Zakuani 3) 22	Kasey Keller, James Riley (sent off 57), Jhon Kennedy Hurtado, Tyrone Marshall, Nathan Sturgis (Zach Scott 72), Brad Evans, Osvaldo Alonso, Freddie Ljungberg, Steve Zakuani (Sanna Nyassi 73), Nate Jaqua, Sebastien Le Toux (Stephen King 87).
	9	2009-05-16	A	Dallas	1-1	D	4-2-3	Hurtado 1 (Jaqua 4, Ianni 1) 18	Kasey Keller, Patrick Ianni, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott (Tyson Wahl 18), Brad Evans (Sanna Nyassi 79), Osvaldo Alonso, Steve Zakuani, Sebastien Le Toux, Nate Jaqua (Stephen King 74), Fredy Montero,
	10	2009-05-23	A	Colorado	2-2	D	4-2-4	Montero 4 (unassisted) 17; Jaqua 2 (Montero 2, Riley 1) 76	Kasey Keller, Nathan Sturgis (Tyson Wahl 80), Jhon Kennedy Hurtado, Tyrone Marshall, James Riley, Sebastien Le Toux, Osvaldo Alonso (Stephen King 2), Peter Vagenas (Patrick Ianni 71), Steve Zakuani, Nate Jaqua, Fredy Montero,
	OC-Q	2009-05-26	H	Colorado	1-0	W		Forrest (Levesque, Nyassi) 61	Kasey Keller, Nathan Sturgis, Tyson Wahl, Jhon Kennedy Hurtado, Evan Brown, Roger Levesque, Stephen King, Patrick Ianni, Sanna Nyassi (Nate Jaqua 80), Kevin Forrest (James Riley 72), Sebastien Le Toux
	11	2009-05-30	H	Columbus	1-1	D	4-2-5	Jaqua 3 (Ljungberg 2) 58	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall (sent off 92+), Tyson Wahl, Brad Evans, Freddie Ljungberg, Peter Vagenas (Patrick Ianni 64), Steve Zakuani, Fredy Montero (Nathan Sturgis 94+), Nate Jaqua (Sebastien Le Toux 83).
	12	2009-06-06	A	Chivas USA	0-1	L	4-3-5		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Tyson Wahl, Brad Evans, Stephen King, Freddie Ljungberg, Steve Zakuani (Sanna Nyassi 79), Nate Jaqua (sent off 88), Fredy Montero (Sebastien Le Toux 65),
	13	2009-06-13	H	San Jose	2-1	W	5-3-5	Ljungberg 2 (Le Toux 2, Montero 3) 42; Montero 5 (Ianni 2, Ljungberg 3) 59	Kasey Keller, James Riley, Patrick Ianni, Tyrone Marshall, Tyson Wahl, Freddie Ljungberg, Brad Evans, Stephen King, Steve Zakuani (Roger Levesque 77), Sebastien Le Toux, Fredy Montero (Osvaldo Alonso 75).
	14	2009-06-17	H	DC United	3-3	D	5-3-6	Alonso 1 (Riley 2, Evans 1) 38; Jaqua 4 (Montero 4) 45; Montero 6 (unassisted) 57	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Tyson Wahl, Freddie Ljungberg (Stephen King 77), Osvaldo Alonso, Brad Evans, Sebastien Le Toux, Nate Jaqua (Patrick Ianni 85), Fredy Montero (Steve Zakuani 66).
	15	2009-06-20	A	New York	1-1	D	5-3-7	Montero 7 (unassisted) 48+	Kasey Keller, Patrick Ianni, Tyrone Marshall, James Riley, Tyson Wahl, Steve Zakuani, Osvaldo Alonso, Brad Evans, Sebastien Le Toux (Sanna Nyassi 69), Fredy Montero, Nate Jaqua (Roger Levesque 74).
	16	2009-06-28	H	Colorado	3-0	W	6-3-7	Montero 8 (Jaqua 5, Ljungberg 4) 23; Jaqua 5 (Montero 5) 48; Jaqua 6 (Montero 6, Le Toux 3) 68	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Tyson Wahl, Sanna Nyassi (Sebastien Le Toux 67), Osvaldo Alonso (Patrick Ianni 39), Brad Evans, Freddie Ljungberg (Peter Vagenas 87), Nate Jaqua, Fredy Montero.
	OC-16	2009-06-30	A	Portland	2-1	W		Levesque (Nyassi, King) 1; King (Jaqua) 27	Kasey Keller, Nathan Sturgis, Jhon Kennedy Hurtado, Patrick Ianni, James Riley, Roger Levesque (Tyson Wahl 89), Peter Vagenas, Stephen King, Sanna Nyassi (Jarrod Smith 79), Sebastien Le Toux (Fredy Montero 66), Nate Jaqua
	OC-QF	2009-07-07	H	Kansas City	1-0	W		Le Toux (penalty kick) 89	Kasey Keller, Nathan Sturgis (Peter Vagenas 89), Tyson Wahl, Jhon Kennedy Hurtado, James Riley, Steve Zakuani (Sebastien Le Toux 71), Patrick Ianni, Stephen King, Sanna Nyassi (Roger Levesque 78), Nate Jaqua, Fredy Montero
	17	2009-07-11	H	Houston	2-1	W	7-3-7	Montero 9 (Jaqua 6) 32; Ianni 1 (Hurtado 2, Ljungberg 5) 46	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Tyson Wahl, Freddie Ljungberg (Roger Levesque 90), Stephen King, Peter Vagenas, Steve Zakuani (Sebastien Le Toux 56), Nate Jaqua, Fredy Montero,
	OC-SF	2009-07-21	H	Houston	2-1	W		Jaqua (Le Toux, Levesque) 89; King (Le Toux, Zakuani) 94	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Tyson Wahl (Roger Levesque 84), Sanna Nyassi (Steve Zakuani 61), Stephen King, Peter Vagenas (Osvaldo Alonso 65), Sebastien Le Toux, Fredy Montero, Nate Jaqua
	18	2009-07-25	H	Chicago	0-0	D	7-3-8		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Tyson Wahl, Freddie Ljungberg (sent off 59), Osvaldo Alonso, Nathan Sturgis (Peter Vagenas 68), Steve Zakuani (Sebastien Le Toux 75), Nate Jaqua (Roger Levesque 89), Fredy Montero.
	19	2009-08-02	A	San Jose	0-4	L	7-4-8		Kasey Keller, James Riley (sent off 33), Patrick Ianni, Tyrone Marshall (Jhon Kennedy Hurtado 87), Tyson Wahl, Steve Zakuani, Sebastien Le Toux, Osvaldo Alonso, Brad Evans, Nate Jaqua (Sanna Nyassi 57), Fredy Montero (Stephen King 57),
	20	2009-08-08	A	Real Salt Lake	0-1	L	7-5-8		Kasey Keller, Brad Evans, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez (Sanna Nyassi 81), Freddie Ljungberg, Osvaldo Alonso (Nathan Sturgis 81), Peter Vagenas, Steve Zakuani, Fredy Montero, Nate Jaqua (Roger Levesque 69).
	21	2009-08-15	A	Los Angeles	2-0	W	8-5-8	Zakuani 3 (Evans 2) 22; Montero 10 (Jaqua 7, Vagenas 1) 54	Kasey Keller, James Riley, Patrick Ianni, Tyrone Marshall (sent off 76), Leo Gonzalez, Brad Evans, Osvaldo Alonso, Peter Vagenas, Steve Zakuani (Sebastien Le Toux 74), Fredy Montero (Zach Scott 81), Nate Jaqua (Sanna Nyassi 88)
	22	2009-08-20	H	New England	0-1	L	8-6-8		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Leo Gonzalez (Zach Scott 90), Brad Evans, Osvaldo Alonso, Peter Vagenas (Sanna Nyassi 69), Steve Zakuani, Nate Jaqua (Sebastien Le Toux 64), Fredy Montero.
	23	2009-08-23	A	Houston	1-1	D	8-6-9	Jaqua 7 (Zakuani 4, Riley 3) 70	Kasey Keller, James Riley, Jhon Kennedy Hurtado (Patrick Ianni 81), Tyrone Marshall, Leo Gonzalez, Brad Evans, Osvaldo Alonso, Freddie Ljungberg (Peter Vagenas 88), Sebastien Le Toux, Nate Jaqua, Roger Levesque (Steve Zakuani 63).
	24	2009-08-29	H	Toronto	0-0	D	8-6-10		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall (Patrick Ianni 19), Leo Gonzalez, Freddie Ljungberg, Osvaldo Alonso, Brad Evans, Steve Zakuani (Sebastien Le Toux 67), Nate Jaqua, Fredy Montero (Peter Vagenas 67),
	OC-F	2009-09-02	A	DC United	2-1	W		Montero (Ljungberg) 67; Levesque (Le Toux) 86	Kasey Keller, Leo Gonzalez, Tyson Wahl, Patrick Ianni, James Riley, Steve Zakuani (Roger Levesque 74), Osvaldo Alonso, Peter Vagenas, Freddie Ljungberg, Sebastien Le Toux, Fredy Montero (Brad Evans 78)
	25	2009-09-12	A	DC United	2-1	W	9-6-10	Zakuani 4 (Vagenas 2) 5; Montero 11 (Riley 4) 84	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Leo Gonzalez, Sebastien Le Toux, Osvaldo Alonso, Peter Vagenas (Brad Evans 62), Steve Zakuani (Tyrone Marshall 86), Nate Jaqua (Roger Levesque 77), Fredy Montero,
	26	2009-09-19	H	Chivas USA	0-0	D	9-6-11		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, Sebastien Le Toux (Brad Evans 63), Osvaldo Alonso, Peter Vagenas (Nate Jaqua 76), Steve Zakuani, Fredy Montero, Freddie Ljungberg.
	27	2009-09-26	A	New England	1-2	L	9-7-11	Montero 12 (unassisted) 6	Kasey Keller, Leo Gonzalez (Stephen King 90), Tyrone Marshall, Jhon Kennedy Hurtado, James Riley, Brad Evans, Osvaldo Alonso, Steve Zakuani (Roger Levesque 69), Fredy Montero, Freddie Ljungberg, Nate Jaqua.
	28	2009-10-03	A	Columbus	1-0	W	10-7-11	Levesque 1 (unassisted) 36	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, Freddie Ljungberg, Osvaldo Alonso, Brad Evans, Steve Zakuani (Sebastien Le Toux 64), Fredy Montero (Peter Vagenas 89), Roger Levesque (Patrick Ianni 69).
	29	2009-10-17	A	Kansas City	3-2	W	11-7-11	Marshall 2 (unassisted) 27; Levesque 2 (Marshall 2, Ljungberg 6) 69; Jaqua 8 (Ljungberg 7) 76	Kasey Keller, Tyrone Marshall, Leo Gonzalez, Jhon Kennedy Hurtado, Brad Evans, Osvaldo Alonso, Freddie Ljungberg, Peter Vagenas (James Riley 77), Steve Zakuani (Sebastien Le Toux 82), Nate Jaqua, Fredy Montero (Roger Levesque 63)
	30	2009-10-24	H	Dallas	2-1	W	12-7-11	Jaqua 9 (Montero 7, Ljungberg 8) 61; Evans 3 (Ljungberg 9) 84	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, Freddie Ljungberg, Osvaldo Alonso, Brad Evans, Steve Zakuani (Roger Levesque 81), Fredy Montero (Tyson Wahl 89), Nate Jaqua (Sebastien Le Toux 85).
	P-QF	2009-10-29	H	Houston	0-0	D			Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Leo Gonzalez, Osvaldo Alonso, Brad Evans, Steve Zakuani (Sebastien Le Toux 82), Nate Jaqua, Freddie Ljungberg, Fredy Montero (Roger Levesque 63).
	P-QF	2009-11-08	A	Houston	0-1	L			Kasey Keller, James Riley (sent off 120), Jhon Kennedy Hurtado, Tyrone Marshall (Sanna Nyassi 104), Leo Gonzalez, Nate Jaqua, Osvaldo Alonso, Brad Evans, Steve Zakuani (Roger Levesque 67), Fredy Montero (Sebastien Le Toux 91), Freddie Ljungberg.
	1	2010-03-25	H	Philadelphia	2-0	W	1-0-0	Evans 1 (Zakuani 1, Montero 1) 12; Montero 1 (Alonso 1) 43	Kasey Keller, Leo Gonzalez, Jhon Kennedy Hurtado, Tyrone Marshall, Zach Scott, Steve Zakuani (Michael Fucito 76), Osvaldo Alonso, Brad Evans, Roger Levesque, Freddie Ljungberg (Sanna Nyassi 60), Fredy Montero
	2	2010-04-03	H	New York	0-1	L	1-1-0		Kasey Keller, Leo Gonzalez (David Estrada 83), Jhon Kennedy Hurtado, Tyrone Marshall, James Riley, Steve Zakuani (Sanna Nyassi 76), Osvaldo Alonso, Brad Evans, Roger Levesque (Pat Noonan 56), Freddie Ljungberg, Fredy Montero
	3	2010-04-10	A	Real Salt Lake	2-2	D	1-1-1	Zakuani 1 (Riley 1) 11; Marshall 1 (Ljungberg 1) 72	Kasey Keller, Leo Gonzalez (Tyson Wahl 48), Jhon Kennedy Hurtado, Tyrone Marshall, James Riley, Steve Zakuani (Roger Levesque 78), Osvaldo Alonso, Brad Evans, Pat Noonan, Freddie Ljungberg, Fredy Montero (Nathan Sturgis 73)
	4	2010-04-17	H	Kansas City	1-0	W	2-1-1	Fucito 1 (Evans 1) 92+	Kasey Keller, Leo Gonzalez, Jhon Kennedy Hurtado, Tyrone Marshall, James Riley, Steve Zakuani (Michael Fucito 85), Osvaldo Alonso, Peter Vagenas, Pat Noonan (Brad Evans 70), Freddie Ljungberg (Patrick Ianni 89), Fredy Montero
	5	2010-04-22	A	Dallas	2-2	D	2-1-2	Zakuani 2 (Alonso 2) 38; Montero 2 (unassisted) 55	Kasey Keller (Terry Boss 46), James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, David Estrada (Pat Noonan 69), Brad Evans, Osvaldo Alonso, Steve Zakuani, Roger Levesque, Fredy Montero (Freddie Ljungberg 78)
	6	2010-04-25	A	Toronto	0-2	L	2-2-2		Kasey Keller, James Riley (David Estrada 78), Patrick Ianni, Tyrone Marshall, Tyson Wahl, Sanna Nyassi (Steve Zakuani 60), Osvaldo Alonso, Peter Vagenas, Nathan Sturgis (Fredy Montero 71), Brad Evans, Freddie Ljungberg
	7	2010-05-01	H	Columbus	1-1	D	2-2-3	Zakuani 3 (Ljungberg 2, Montero 3) 4	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Patrick Ianni, Leo Gonzalez, Brad Evans (Sanna Nyassi 66), Peter Vagenas, Osvaldo Alonso, Freddie Ljungberg, Fredy Montero, Steve Zakuani
	8	2010-05-08	H	Los Angeles	0-4	L	2-3-3		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, Brad Evans (Sanna Nyassi 70), Osvaldo Alonso (Nathan Sturgis 37), Peter Vagenas, Freddie Ljungberg, Fredy Montero (Miguel Montano 57), Steve Zakuani
	9	2010-05-15	A	New York	1-0	W	3-3-3	Montero 3 (Evans 2, Marshall 1) 85	Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez, Brad Evans (Pat Noonan 89), Patrick Ianni, Peter Vagenas (Nathan Sturgis 65), Sanna Nyassi (Fredy Montero 78), Steve Zakuani, Freddie Ljungberg
	10	2010-05-22	H	San Jose	0-1	L	3-4-3		Kasey Keller, James Riley, Jhon Kennedy Hurtado, Tyrone Marshall, Leo Gonzalez (Pat Noonan 76), Sanna Nyassi (Miguel Montano 62), Patrick Ianni, Nathan Sturgis, Steve Zakuani, Freddie Ljungberg, Fredy Montero
	11	2010-05-29	A	Colorado	0-1	L	3-5-3		Kasey Keller, Leo Gonzalez, Tyrone Marshall, Jeff Parke, James Riley, Steve Zakuani (Sanna Nyassi 64), Brad Evans, Patrick Ianni, Freddie Ljungberg, Pat Noonan (Roger Levesque 83), Fredy Montero (Miguel Montano 76)
	12	2010-06-05	H	New England	3-0	W	4-5-3	Gonzalez 1 (Zakuani 2) 5; Zakuani 4 (Evans 3, Montero 4) 24; Montero 4 (Noonan 1, Gonzalez 1) 42	Kasey Keller, James Riley, Jeff Parke, Tyrone Marshall, Leo Gonzalez (Taylor Graham 91+), Steve Zakuani, Patrick Ianni, Brad Evans, Freddie Ljungberg (Sanna Nyassi 88), Fredy Montero, Pat Noonan (Roger Levesque 81)
	13	2010-06-10	H	DC United	2-3	L	4-6-3	own goal (Rice) 90; Montero 5 (Ljungberg 3) 91+	Kasey Keller, James Riley, Jeff Parke, Tyrone Marshall, Leo Gonzalez, Freddie Ljungberg, Brad Evans, Patrick Ianni (Nathan Sturgis 64), Steve Zakuani (Sanna Nyassi 66), Fredy Montero, Pat Noonan (Roger Levesque 75)
	14	2010-06-27	A	Philadelphia	1-3	L	4-7-3	Noonan 1 (Montero 5, Zakuani 3) 44	Kasey Keller, Leo Gonzalez, Jeff Parke, Tyrone Marshall, James Riley, Steve Zakuani (Nate Jaqua 72), Patrick Ianni, Peter Vagenas (Mike Seamon 66), Fredy Montero, Freddie Ljungberg, Pat Noonan (Roger Levesque 80)
	OC-16	2010-06-30	A	Portland	1-1	D		Jaqua (Nyassi) 13	Kasey Keller, Zach Scott, Tyson Wahl, Taylor Graham, James Riley, Miguel Montano (Steve Zakuani 69), Nathan Sturgis, Mike Seamon (Patrick Ianni 102), Sanna Nyassi, Roger Levesque, Nate Jaqua (Fredy Montero 65)
	15	2010-07-04	A	Los Angeles	1-3	L	4-8-3	Zakuani 5 (Montero 6) 66	Kasey Keller, James Riley, Jeff Parke, Tyrone Marshall, Leo Gonzalez, Freddie Ljungberg (Miguel Montano 83), Patrick Ianni, Peter Vagenas (Mike Seamon 51), Steve Zakuani, Fredy Montero, Pat Noonan (Nate Jaqua 46)
	OC-QF	2010-07-07	H	Los Angeles	2-0	W		Jaqua (unassisted) 50; Jaqua (Montano) 62	Terry Boss, Zach Scott, Jeff Parke, Patrick Ianni, Tyson Wahl, Sanna Nyassi, Nathan Sturgis, Mike Seamon (James Riley 78), Miguel Montano (Leo Gonzalez 71), Roger Levesque, Nate Jaqua (David Estrada 83)
	16	2010-07-11	H	Dallas	1-1	D	4-8-4	Montero 6 (Riley 2, Seamon 1) 14	Kasey Keller, James Riley, Jeff Parke, Patrick Ianni, Leo Gonzalez, Miguel Montano (sent off 56), Mike Seamon (Osvaldo Alonso 70), Nathan Sturgis, Steve Zakuani (Sanna Nyassi 62), Nate Jaqua (Roger Levesque 78), Fredy Montero
	17	2010-07-15	A	DC United	1-0	W	5-8-4	Levesque 1 (Montero 7, Nyassi 1) 89	Kasey Keller, James Riley, Jeff Parke (Tyrone Marshall 62), Patrick Ianni, Leo Gonzalez, Pat Noonan (Sanna Nyassi 88), Nathan Sturgis, Mike Seamon (Osvaldo Alonso 73), Steve Zakuani, Roger Levesque, Fredy Montero
	18	2010-07-25	H	Colorado	2-1	W	6-8-4	Zakuani 6 (unassisted) 8; Zakuani 7 (Nyassi 2, Montero 8) 17	Kasey Keller, James Riley, Jeff Parke, Patrick Ianni, Zach Scott, Sanna Nyassi (Roger Levesque 81), Nathan Sturgis (Mike Seamon 74), Osvaldo Alonso, Steve Zakuani, Fredy Montero, Blaise Nkufo (Nate Jaqua 70)
	CL-Q	2010-07-28	H	Isidro Metapan	1-0	W		Montero (unassisted) 60	Kasey Keller, Leo Gonzalez, Tyrone Marshall, Taylor Graham, James Riley, Miguel Montano (Steve Zakuani 57), Peter Vagenas (Osvaldo Alonso 14), Mike Seamon, Sanna Nyassi, Roger Levesque, Nate Jaqua (Fredy Montero 60)
	19	2010-07-31	A	San Jose	1-0	W	7-8-4	Montero 7 (Nyassi 3) 26	Kasey Keller, James Riley, Patrick Ianni, Jeff Parke (Tyrone Marshall 46), Leo Gonzalez, Sanna Nyassi, Nathan Sturgis, Osvaldo Alonso, Steve Zakuani (Alvaro Fernandez 69), Fredy Montero, Blaise Nkufo (Nate Jaqua 86)
	CL-Q	2010-08-03	A	Isidro Metapan	1-1	D		Fernandez (Riley) 73	Kasey Keller, James Riley, Tyrone Marshall, Patrick Ianni, Leo Gonzalez, Sanna Nyassi (Alvaro Fernandez 64), Osvaldo Alonso, Nathan Sturgis, Steve Zakuani (Nate Jaqua 64), Roger Levesque (Mike Seamon 84), Fredy Montero
	20	2010-08-08	H	Houston	2-0	W	8-8-4	Montero 8 (Keller 1) 64; Fernandez 1 (Montero 9) 88	Kasey Keller, James Riley, Patrick Ianni, Jeff Parke, Leo Gonzalez, Sanna Nyassi (Mike Seamon 85), Osvaldo Alonso, Nathan Sturgis, Steve Zakuani (Alvaro Fernandez 69), Fredy Montero, Blaise Nkufo (Nate Jaqua 87)
