									
									
	1	1996-04-06	H	DC United	1-0	W	1-0	Wynalda (Iroha) 88	Tom Liner, Troy Dayak, John Doyle, Michael Emenalo, Tim Martin, Jorge Rodas (Paul Holocher 79), Victor Mella, Ben Iroha (Eddie Lewis 89), Paul Bravo, Jeff Baicher, Eric Wynalda
	2	1996-04-14	A	Dallas	0-0	L	1-1		Tom Liner, Tim Martin, Michael Emenalo, Troy Dayak, John Doyle, Ben Iroha, Paul Bravo, Jorge Rodas (Paul Holocher 58), Victor Mella, Eric Wynalda, Jeff Baicher (Altimont Butler 81)
	3	1996-04-21	H	Kansas City	2-2	L	1-2	Iroha 7; Holocher 33	Tom Liner, Troy Dayak, John Doyle, Michael Emenalo, Tim Martin, Ben Iroha, Paul Holocher, Victor Mella (Eddie Lewis 77), Jorge Rodas, Paul Bravo (Jeff Baicher 69), Eric Wynalda
	4	1996-04-28	A	Los Angeles	1-2	L	1-3	Bravo (Wynalda) 77	Tom Liner, Michael Emenalo, Tim Martin, Ben Iroha, John Doyle, Paul Bravo, Eddie Lewis (Altimont Butler 31), Paul Holocher (Jeff Baicher 72), Jorge Rodas, Victor Mella (Ramiro Corrales 87), Eric Wynalda
	5	1996-05-04	A	New England	2-1	W	2-3	Wynalda (Iroha) 23; Bravo (Mella, Dayak) 70	Tom Liner, Ben Iroha, Troy Dayak, Michael Emenalo, John Doyle, Tim Martin, Paul Bravo, Altimont Butler (Eddie Lewis 74), Victor Mella (Henry Gutierrez 82), Eric Wynalda, Jeff Baicher
	6	1996-05-08	H	Colorado	3-1	W	3-3	Baicher (Bravo, Wynalda) 35; Bravo (unassisted) 37; Martin (Bravo) 72	Tom Liner, Troy Dayak, Michael Emenalo, John Doyle, Ramiro Corrales, Altimont Butler (Eddie Lewis 74), Tim Martin, Paul Bravo, Jeff Baicher (Henry Gutierrez 44), Eric Wynalda, Missael Espinoza
	7	1996-05-12	H	Los Angeles	1-2	L	3-4	Bravo (Gutierrez) 75	Tom Liner, Troy Dayak, John Doyle, Ben Iroha (Eddie Lewis 18), Ramiro Corrales, Missael Espinoza, Tim Martin, Henry Gutierrez, Altimont Butler (Jorge Rodas 45), Jeff Baicher (Eric Wynalda 60), Paul Bravo
	8	1996-05-18	A	Tampa Bay	2-3	L	3-5	Bravo (pk) 65; Bravo (Lewis, Dayak) 71	Tom Liner (Dave Salzwedel 46), Troy Dayak, John Doyle, Tim Martin, Michael Emenalo, Ben Iroha (Rafael Amaya 76), Jorge Rodas, Henry Gutierrez, Missael Espinoza, Paul Bravo, Jeff Baicher (Eddie Lewis 58)
	9	1996-05-29	H	Kansas City	2-1	W	4-5	Wynalda (unassisted) 23; Wynalda (Baicher) 46	Dave Salzwedel, John Doyle, Troy Dayak, Tim Martin, Michael Emenalo, Ben Iroha, Henry Gutierrez (Jorge Rodas 50), Paul Bravo, Jeff Baicher (Eddie Lewis 71), Missael Espinoza, Eric Wynalda
	10	1996-06-01	H	Columbus	2-2	W	5-5	Gutierrez (Iroha) 29; Butler (Doyle, Espinoza) 84	Dave Salzwedel, Troy Dayak, John Doyle, Michael Emenalo, Tim Martin (Altimont Butler 81), Ben Iroha, Paul Bravo (Oscar Draguicevich 71), Henry Gutierrez (Jorge Rodas 62), Jeff Baicher, Missael Espinoza, Eric Wynalda
	11	1996-06-05	A	DC United	1-3	L	5-6	Butler (unassisted) 68	Tom Liner, Michael Emenalo, Troy Dayak, John Doyle, Tim Martin, Oscar Draguicevich (Jorge Rodas 25), Jeff Baicher, Ben Iroha, Altimont Butler, Missael Espinoza (Rafael Amaya 77), Eric Wynalda (Eddie Lewis 62)
	12	1996-06-08	A	Dallas	1-4	L	5-7	Espinoza (Corrales) 12	Tom Liner, Ramiro Corrales (Rafael Amaya 59), Troy Dayak, John Doyle, Michael Emenalo, Tim Martin, Paul Bravo, Eddie Lewis (Oscar Draguicevich 82), Jorge Rodas, Jeff Baicher (Altimont Butler 71), Missael Espinoza
	13	1996-06-16	A	MetroStars	1-0	W	6-7	Baicher (Emenalo, Espinoza) 14	Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich (Altimont Butler 85), Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo, Eddie Lewis (Ramiro Corrales 78), Jeff Baicher (Jorge Rodas 57), Missael Espinoza
	14	1996-06-23	H	DC United	2-1	W	7-7	Espinoza (Bravo, Salzwedel) 41; Baicher (Emenalo) 66	Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo (Henry Gutierrez 76), Eddie Lewis (Jorge Rodas 57), Jeff Baicher, Missael Espinoza
	15	1996-06-30	H	Tampa Bay	4-0	W	8-7	Wynalda (Dayak) 1; Wynalda (Bravo, Lewis) 25; Bravo (Wynalda) 34; Espinoza (Wynalda) 44	Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Paul Bravo (Jorge Rodas 75), Eddie Lewis, Jeff Baicher, Missael Espinoza, Eric Wynalda (Ramiro Corrales 78)
	16	1996-07-06	H	New England	1-1	L	8-8	Wynalda (Doyle, Iroha) 60	Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Paul Bravo (Altimont Butler 80), Eddie Lewis (Ben Iroha 58), Jeff Baicher (Jorge Rodas 70), Missael Espinoza, Eric Wynalda
	17	1996-07-17	A	Colorado	2-1	W	9-8	Bravo (Espinoza) 14; Bravo (Iroha) 50	Dave Salzwedel, Troy Dayak, Tim Martin, Oscar Draguicevich, Ben Iroha (Tayt Ianni 88), Eric Wynalda, Eddie Lewis, Missael Espinoza, Jeff Baicher (Rafael Amaya 71), Michael Emenalo, Paul Bravo (Jorge Rodas)
	18	1996-07-20	A	Columbus	4-3	W	10-8	Wynalda (Espinoza) 7; Bravo (Iroha) 17; Doyle (Iroha) 50; Bravo (Wynalda) 60	Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo, Jeff Baicher, Missael Espinoza (sent off 73), Eric Wynalda
	19	1996-07-24	H	MetroStars	0-1	L	10-9		Dave Salzwedel, Troy Dayak, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo, Jorge Rodas (Eddie Lewis 46), Jeff Baicher (Altimont Butler 84), Eric Wynalda
	20	1996-07-28	A	MetroStars	1-4	L	10-10	Wynalda (pk) 39	Dave Salzwedel, Troy Dayak, John Doyle (sent off 42), Oscar Draguicevich (Jorge Rodas 72), Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo, Jeff Baicher (Eddie Lewis 55, sent off 81), Missael Espinoza, Eric Wynalda (Altimont Butler 87)
	21	1996-07-31	A	New England	0-2	L	10-11		Dave Salzwedel, Troy Dayak, Oscar Draguicevich, Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo (Jorge Rodas 71), Tayt Ianni, Jeff Baicher, Missael Espinoza, Eric Wynalda
	22	1996-08-11	H	New England	6-1	W	11-11	Dayak (Doyle) 31; Espinoza (Rodas) 48; Doyle (Lewis) 62; Dayak (Wynalda, Doyle) 70; Rodas (unassisted) 81; Espinoza (Wynalda) 84	Tom Liner, Troy Dayak (Ben Iroha 72), John Doyle, Oscar Draguicevich, Tim Martin, Paul Bravo, Eddie Lewis, Jorge Rodas, Jeff Baicher (Rafael Amaya 84), Missael Espinoza, Eric Wynalda
	23	1996-08-15	A	Kansas City	1-4	L	11-12	Doyle (Rodas) 78	Tom Liner, Troy Dayak, John Doyle, Oscar Draguicevich (Ben Iroha 55), Tim Martin, Paul Bravo, Eddie Lewis (Rafael Amaya 83), Jorge Rodas, Jeff Baicher (Michael Emenalo 52), Missael Espinoza, Eric Wynalda
	24	1996-08-18	A	Columbus	0-2	L	11-13		Tom Liner, John Doyle, Oscar Draguicevich (Rafael Amaya 83), Michael Emenalo, Tim Martin, Ben Iroha (Tayt Ianni 81), Paul Bravo, Eddie Lewis, Jorge Rodas, Jeff Baicher (Altimont Butler 85), Missael Espinoza
	25	1996-08-22	H	Dallas	0-0	W	12-13		Tom Liner, Troy Dayak, John Doyle, Michael Emenalo (Altimont Butler 87), Tim Martin, Paul Bravo, Eddie Lewis (Ben Iroha 38), Jorge Rodas, Jeff Baicher, Missael Espinoza, Eric Wynalda
	26	1996-08-25	H	Colorado	1-0	W	13-13	Espinoza (Wynalda, Doyle) 1	Tom Liner, Troy Dayak, John Doyle, Michael Emenalo (Ramiro Corrales 69), Tim Martin, Ben Iroha (Eddie Lewis 66), Paul Bravo, Jorge Rodas, Jeff Baicher, Missael Espinoza, Eric Wynalda
	27	1996-09-01	H	Los Angeles	1-1	L	13-14	Espinoza (Wynalda, Doyle) 26	Tom Liner (Dave Salzwedel 47), Troy Dayak, John Doyle, Michael Emenalo, Tim Martin, Paul Bravo, Eddie Lewis (Ben Iroha 60), Jorge Rodas, Jeff Baicher (Ramiro Corrales 86), Missael Espinoza, Eric Wynalda
	28	1996-09-08	A	Colorado	3-1	W	14-14	Espinoza (Wynalda) 24; Espinoza (Iroha) 40; Bravo (Espinoza, Wynalda) 85	Tom Liner, John Doyle, Oscar Draguicevich, Michael Emenalo, Tim Martin, Ben Iroha (Ramiro Corrales 79), Paul Bravo, Tayt Ianni, Jorge Rodas, Missael Espinoza, Eric Wynalda
	29	1996-09-11	H	Dallas	2-2	L	14-15	Espinoza (Bravo) 49; Iroha (Wynalda) 74	Tom Liner, John Doyle, Oscar Draguicevich (sent off 84), Michael Emenalo, Tim Martin, Ben Iroha, Paul Bravo, Jorge Rodas, Jeff Baicher, Missael Espinoza, Eric Wynalda
	30	1996-09-15	A	Los Angeles	2-4	L	14-16	Bravo (unassisted) 69; Wynalda (pk) 86	Tom Liner, John Doyle, Tim Martin, Michael Emenalo, Jeff Baicher (Ryshiem Henderson 38), Ben Iroha, Paul Bravo, Ramiro Corrales, Jorge Rodas (Eddie Lewis 46), Missael Espinoza, Eric Wynalda
	31	1996-09-18	H	Tampa Bay	1-1	L	14-17	Corrales (Wynalda) 3	Tom Liner, Ramiro Corrales (Jorge Rodas 69), John Doyle, Oscar Draguicevich, Tim Martin, Ben Iroha, Paul Bravo, Eddie Lewis (Ryshiem Henderson 69), Jeff Baicher (Tayt Ianni 84), Missael Espinoza, Eric Wynalda
	32	1996-09-21	A	Kansas City	0-0	W	15-17		Dave Salzwedel, Tim Martin, Oscar Draguicevich (Ryshiem Henderson 85), John Doyle, Ben Iroha, Michael Emenalo, Jorge Rodas, Tayt Ianni, Eric Wynalda, Missael Espinoza, Paul Bravo
	P-QF	1996-09-26	H	Los Angeles	1-0	W		Ianni (Wynalda) 36	Dave Salzwedel, Tim Martin, John Doyle, Oscar Draguicevich, Michael Emenalo, Tayt Ianni, Ben Iroha, Jorge Rodas (Jeff Baicher 46), Missael Espinoza (Eddie Lewis 70), Paul Bravo, Eric Wynalda
