									
									
	1	1996-04-13	H	New England	3-2	W	1-0	McKinley (Vasquez) 19; Lassiter (Pittman) 25; Pittman (Valderrama) 65	Mark Dougherty, John Diffley, Cle Kooiman, Steve Pittman, Frank Yallop, Ivan McKinley, Steve Ralston, Carlos Valderrama, Martin Vasquez, Evans Wise (Derek Backman 89), Roy Lassiter
	2	1996-04-20	A	Columbus	2-1	W	2-0	Vasquez (Ralston) 12; own goal (Marino) 28	Mark Dougherty, John Diffley, Cle Kooiman, Steve Pittman, Frank Yallop, Evans Wise (Diego Viera 67), Ivan McKinley, Martin Vasquez, Carlos Valderrama, Steve Ralston, Roy Lassiter
	3	1996-04-28	H	Dallas	1-2	L	2-1	Lassiter (McKinley) 81	Mark Dougherty, John Diffley (Ivan McKinley 46), Steve Pittman, Cle Kooiman (Derek Backman 88), Frank Yallop, Martin Vasquez, Steve Ralston, Evans Wise, Carlos Valderrama, Diego Viera, Roy Lassiter
	4	1996-05-04	A	Metrostars	3-3	L	2-2	Viera (Lassiter, Wise) 51; Valderrama (pk) 53; Viera (Wise) 58	Mark Dougherty, Ivan McKinley, Cle Kooiman, Steve Pittman, Frank Yallop, Martin Vasquez, Steve Ralston, Evans Wise (Derek Backman 85), Carlos Valderrama, Diego Viera (John Diffley 65), Roy Lassiter
	5	1996-05-08	H	Kansas City	2-0	W	3-2	Valderrama (unassisted) 41; Viera (Kooiman) 50	Mark Dougherty, Steve Pittman (Goran Hunjak 88), Cle Kooiman, Frank Yallop, Martin Vasquez, Ivan McKinley, Steve Ralston, Evans Wise, Carlos Valderrama, Roy Lassiter, Diego Viera
	6	1996-05-11	A	Colorado	2-1	W	4-2	McKinley (Kooiman, Pittman) 62; Ralston (McKinley) 78	Mark Dougherty, Steve Pittman, Cle Kooiman, Frank Yallop, Martin Vasquez, Ivan McKinley, Adam Frye (Goran Hunjak 54), Steve Ralston, Carlos Valderrama, Diego Viera, Roy Lassiter
	7	1996-05-18	H	San Jose	3-2	W	5-2	Lassiter (Vasquez, Valderrama) 18; Ralston (Valderrama) 22; Lassiter (Valderrama) 43	Mark Dougherty, Steve Pittman, Cle Kooiman, Frank Yallop, Martin Vasquez, Steve Ralston (Giuseppe Galderisi 72), Derek Backman (John Diffley 90), Goran Hunjak, Carlos Valderrama, Ivan McKinley, Roy Lassiter
	8	1996-05-23	A	Dallas	1-0	W	6-2	Lassiter (Valderrama, Galderisi) 82	Mark Dougherty, Steve Pittman (Guiseppe Galderisi 49), Cle Kooiman, Steve Yallop, Steve Ralston, Carlos Valderrama, Martin Vasquez, Goran Hunjak, Ivan McKinley, Roy Lassiter, Evans Wise
	9	1996-06-01	H	Los Angeles	1-2	L	6-3	Lassiter (unassisted) 35	Scott Budnick, Cle Kooiman, Steve Pittman, Frank Yallop, Goran Hunjak, Ivan McKinley (Diego Viera 74, sent off 90), Steve Ralston, Martin Vasquez, Evans Wise, Giuseppe Galderisi, Roy Lassiter
	10	1996-06-05	A	Kansas City	3-1	W	7-3	own goal (Ekeme) 55; Hunjak (Galderisi) 82; Lassiter (Galderisi) 85	Mark Dougherty, John Diffley, Steve Pittman, Cle Kooiman, Steve Ralston, Derek Backman (Adam Frye 84), Martin Vasquez, Goran Hunjak, Evans Wise (Greg Lalas 89), Roy Lassiter, Guiseppe Galderisi
	11	1996-06-08	H	Colorado	2-1	W	8-3	Viera (Vasquez) 20; Vasquez (unassisted) 82	Mark Dougherty, Cle Kooiman, Steve Pittman, Frank Yallop, Goran Hunjak, Ivan McKinley, Steve Ralston, Martin Vasquez, Evans Wise (Derek Backman 84), Giuseppe Galderisi, Diego Viera
	12	1996-06-16	A	Los Angeles	2-2	L	8-4	Galderisi (Lassiter) 1; Lassiter (Valderrama) 46	Mark Dougherty, Frank Yallop, Cle Kooiman, Steve Pittman, Ivan McKinley, Goran Hunjak (Evans Wise 73), Steve Ralston, Martin Vasquez, Carlos Valderrama, Giuseppe Galderisi (Derek Backman 82), Roy Lassiter
